T_M	R_point	R_lo	R_med	R_hi	p_below_wu_976	p_below_equivalence_80	acc4_point	acc32_point	sigma4	sigma32
1.0	0.9762	0.8834	0.9755	1.0820	0.502	0.000	0.4100	0.4200	0.0153	0.0153
4.0	0.8333	0.7742	0.8331	0.8934	1.000	0.136	0.5500	0.6600	0.0153	0.0153
16.0	0.7500	0.7057	0.7509	0.7966	1.000	0.981	0.6300	0.8400	0.0153	0.0153
64.0	0.7273	0.6851	0.7280	0.7715	1.000	1.000	0.6400	0.8800	0.0153	0.0153
