# Iter 114 cross-library delta_d (anti-herding bonus)
# delta_d = ZVF_emp - (p^G + (1-p)^G)
# p = variance_mitigation trajectory-mean heldout_acc for the variance_mitigation
#     libraries; p = mean_last10 for non-mitigation libraries (canonical p_x proxy).
# Negative delta_d = anti-herding (sampler creates more contrast than i.i.d.);
# Positive delta_d = herding / mode collapse.
# Source: scripts/zvf_diagnostic_iter114.py
library	model	n_rows	mean_zvf_emp	p_proxy	G	zvf_iid	delta_d	n_collapse	collapse_rate	interpretation
grpo	GRPO	5	0.4808	0.3791	8	0.0225	0.4583	0	0.0000	herd
aero	AERO	5	0.2203	0.3993	8	0.0176	0.2027	0	0.0000	herd
cppo	CPPO	5	0.2952	0.3920	8	0.0192	0.2760	0	0.0000	herd
ngrpo	NGRPO	5	0.3003	0.3874	8	0.0203	0.2800	0	0.0000	herd
scafgrpo	SCAFGRPO	5	0.3166	0.4088	8	0.0157	0.3009	0	0.0000	herd
mcgrpo	MCGRPO	5	0.1461	0.3221	8	0.0447	0.1014	0	0.0000	herd
gift	GIFT	5	0.1142	0.3259	8	0.0428	0.0714	0	0.0000	herd
areal	AREAL	5	0.1209	0.3283	8	0.0416	0.0793	0	0.0000	herd
es	ES	5	0.1142	0.3163	8	0.0478	0.0664	0	0.0000	herd
gsm8k_real	Qwen/Qwen3-8B	4	0.1583	0.6942	8	0.0540	0.1043	0	0.0000	herd
arithmetic_groupsize	Qwen/Qwen2.5-0.5B	4	0.7308	0.9764	8	0.8261	-0.0953	0	0.0000	anti-herd
tool_use	qwen3-32b	1	1.0000	0.0000	1	1.0000	0.0000	1	1.0000	herd
tool_use	llama-8b-inst	1	1.0000	0.0000	1	1.0000	0.0000	1	1.0000	herd
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	10	0.7941	0.9881	8	0.9087	-0.1146	0	0.0000	anti-herd
