# Pillar 2 ZVF predictive calibration (iter118).
# Pooled (experiment, model, G) cells sorted by mean_zvf and
# split into n_bins even-width bins.  failure_rate is the
# fraction of cells in the bin labelled collapse or drift per
# zvf_diagnostic.classify.  wilson_lo / wilson_hi are Wilson
# 95% CIs on the bin failure rate.
# Source: scripts/zvf_iter118_diagnostic.py
bin	n_cells	zvf_lo	zvf_hi	zvf_mean	n_failure	n_converged_or_plateau	failure_rate	wilson_lo	wilson_hi
0	3	0.1142	0.1209	0.1164	3	0	1.0000	0.4385	1.0000
1	3	0.1461	0.2203	0.1749	1	2	0.3333	0.0615	0.7923
2	3	0.2952	0.3166	0.3040	0	3	0.0000	0.0000	0.5615
3	5	0.4808	1.0000	0.7605	2	3	0.4000	0.1176	0.7693
4	3	0.7635	0.8380	0.7985	0	3	0.0000	0.0000	0.5615
