task	algo	n_seeds	n_dom_k-3	n_dom_k-2	n_dom_k-1	n_dom_k+0	n_dom_k+1	n_dom_k+2	n_dom_k+3	mean_rho_at_dom	mean_dom_absrho	rho_k0_mean	n_dom_pos	n_dom_neg	n_dom_zero	rho_k+1_mean	rho_k-1_mean	rho_k1_minus_km1_mean	rho_k1_minus_km1_lo	rho_k1_minus_km1_hi	rho_k1_minus_km1_p_le0
arithmetic_easy	dr_grpo	5	0	0	1	0	2	0	2	-0.39362304588346386	0.39362304588346386	-0.2928236232910937	4	1	0	-0.3449407629630804	-0.24137590934574166	-0.10356485361733876	-0.17765347906393036	-0.026978473952377353	0.9955
arithmetic_easy	grpo	5	0	0	1	3	0	0	1	-0.48376696044825185	0.48376696044825185	-0.41912601523897414	1	1	3	-0.39338809584695	-0.42122315739658456	0.027835061549634565	-0.05122666960646986	0.09338138007052212	0.2245
gsm8k_cot	dr_grpo	3	0	0	0	3	0	0	0	-0.6180869425327321	0.6180869425327321	-0.6180869425327321	0	0	3	0.01246000842923709	0.1319145436551993	-0.11945453522596221	-0.3021136365117332	0.0805439257909921	0.851
gsm8k_cot	grpo	3	0	0	0	2	1	0	0	-0.3287694791143458	0.5134630860602923	-0.5013447899951505	1	0	2	0.00808832266290171	0.08441641640548814	-0.07632809374258644	-0.2277328834504501	0.09209114155235226	0.848
