G	step	n_seeds	mean_zvf	sem_zvf	mean_grad_norm	sem_grad_norm	mean_entropy	sem_entropy	mean_mean_reward	sem_mean_reward	mean_advantage_variance	sem_advantage_variance
2	0	3	0.7292	0.0208	1.7391	0.3424	1.2319	0.0606	0.1979	0.0276	1.0	0.0
2	1	3	0.6458	0.0417	1.9454	0.6382	1.0466	0.0763	0.2396	0.0551	1.0	0.0
2	2	3	0.4583	0.0833	1.5511	0.3116	0.8663	0.0192	0.3542	0.0908	1.0	0.0
2	3	3	0.5208	0.0208	1.2129	0.1383	0.7786	0.0383	0.4688	0.018	1.0	0.0
2	4	3	0.5208	0.0208	1.146	0.1358	0.7724	0.0425	0.5729	0.0454	1.0	0.0
2	5	3	0.5417	0.116	1.3086	0.2628	0.695	0.0575	0.5417	0.0729	1.0	0.0
2	6	3	0.5208	0.0751	1.2132	0.2211	0.7688	0.1176	0.5938	0.0786	1.0	0.0
2	7	3	0.5625	0.1573	1.4867	0.4741	0.6786	0.0578	0.7188	0.1097	1.0	0.0
2	8	3	0.5625	0.0361	1.381	0.1165	0.6358	0.0078	0.7604	0.0276	1.0	0.0
2	9	3	0.6875	0.0955	0.6976	0.1911	0.6458	0.0705	0.7812	0.0827	1.0	0.0
2	10	3	0.6667	0.0908	1.2329	0.3864	0.553	0.0332	0.8125	0.0312	1.0	0.0
2	11	3	0.6875	0.0	1.0571	0.0938	0.5645	0.1102	0.7604	0.0208	1.0	0.0
2	12	3	0.7708	0.0751	1.2131	0.3674	0.4335	0.0176	0.8646	0.0276	1.0	0.0
2	13	3	0.8333	0.0551	1.1148	0.3774	0.2733	0.0206	0.8333	0.0104	1.0	0.0
2	14	3	0.8125	0.0361	1.0686	0.2689	0.2491	0.0216	0.9062	0.018	1.0	0.0
2	15	3	0.9167	0.0208	0.2674	0.1956	0.2442	0.0151	0.9375	0.0312	1.0	0.0
2	16	3	0.9375	0.0361	0.8177	0.5633	0.1441	0.0179	0.9271	0.058	0.6667	0.3333
2	17	3	0.9167	0.0208	0.5379	0.0978	0.1525	0.0178	0.9375	0.018	1.0	0.0
2	18	3	0.9375	0.0361	0.5547	0.3817	0.1061	0.0245	0.9271	0.0376	0.6667	0.3333
2	19	3	0.9375	0.0361	1.0149	0.8492	0.0796	0.0111	0.9479	0.0276	0.6667	0.3333
2	20	3	0.9375	0.0361	0.3058	0.2793	0.0709	0.0006	0.9688	0.018	0.6667	0.3333
2	21	3	0.9583	0.0208	0.5766	0.3884	0.0567	0.0194	0.9792	0.0104	0.6667	0.3333
2	22	3	0.9792	0.0208	0.3709	0.3709	0.0592	0.0122	0.9688	0.018	0.3333	0.3333
2	23	3	0.9583	0.0208	0.6987	0.3531	0.047	0.0157	0.9792	0.0104	0.6667	0.3333
2	24	3	0.9375	0.0625	0.7735	0.7735	0.0364	0.0137	0.9688	0.0312	0.3333	0.3333
2	25	3	0.8958	0.0208	1.581	0.7113	0.065	0.0122	0.9479	0.0104	1.0	0.0
2	26	3	0.9583	0.0208	0.5714	0.3203	0.041	0.0121	0.9792	0.0104	0.6667	0.3333
2	27	3	0.9792	0.0208	0.3074	0.3074	0.026	0.0073	0.9896	0.0104	0.3333	0.3333
2	28	3	0.9792	0.0208	0.0014	0.0014	0.0216	0.0052	0.9688	0.018	0.3333	0.3333
2	29	3	0.9792	0.0208	0.7555	0.7555	0.0261	0.0078	0.9896	0.0104	0.3333	0.3333
2	30	3	0.9792	0.0208	0.1816	0.1816	0.0353	0.0127	0.9479	0.0376	0.3333	0.3333
2	31	3	1.0	0.0	0.0	0.0	0.0337	0.0181	0.9792	0.0208	0.0	0.0
2	32	3	0.9583	0.0417	0.4418	0.4418	0.025	0.0145	0.9792	0.0208	0.3333	0.3333
2	33	3	0.9583	0.0208	0.8419	0.4264	0.0201	0.0019	0.9792	0.0104	0.6667	0.3333
2	34	3	1.0	0.0	0.0	0.0	0.0146	0.0042	1.0	0.0	0.0	0.0
2	35	3	0.9792	0.0208	0.7381	0.7381	0.0308	0.0153	0.9688	0.0312	0.3333	0.3333
2	36	3	0.9792	0.0208	0.1768	0.1768	0.0278	0.0046	0.9688	0.0312	0.3333	0.3333
2	37	3	1.0	0.0	0.0	0.0	0.0116	0.0026	1.0	0.0	0.0	0.0
2	38	3	0.9583	0.0208	0.7671	0.384	0.0208	0.0107	0.9583	0.0276	0.6667	0.3333
2	39	3	0.9792	0.0208	0.3759	0.3759	0.0129	0.005	0.9896	0.0104	0.3333	0.3333
4	0	3	0.3542	0.116	3.7705	1.087	1.1619	0.0985	0.2083	0.0188	1.0	0.0
4	1	3	0.2708	0.0833	2.0657	0.3062	1.1618	0.0405	0.2865	0.0138	1.0	0.0
4	2	3	0.25	0.0361	1.5912	0.1073	0.8867	0.0497	0.3906	0.0502	1.0	0.0
4	3	3	0.1458	0.0551	1.89	0.3801	0.7933	0.0257	0.5104	0.0529	1.0	0.0
4	4	3	0.25	0.0361	1.5044	0.0782	0.6865	0.0633	0.6094	0.0325	1.0	0.0
4	5	3	0.25	0.0625	1.5746	0.0937	0.6407	0.0456	0.6458	0.0138	1.0	0.0
4	6	3	0.2708	0.0208	1.6594	0.0634	0.5695	0.0618	0.7396	0.0276	1.0	0.0
4	7	3	0.5417	0.0208	0.9199	0.0653	0.5142	0.0319	0.8073	0.0317	1.0	0.0
4	8	3	0.5208	0.0908	1.2561	0.1634	0.4657	0.022	0.8177	0.0227	1.0	0.0
4	9	3	0.625	0.0361	1.0629	0.1908	0.4304	0.0277	0.8698	0.0188	1.0	0.0
4	10	3	0.6667	0.0751	1.7087	0.0288	0.373	0.0182	0.8542	0.0365	1.0	0.0
4	11	3	0.6667	0.0417	1.9306	0.3253	0.3819	0.0524	0.849	0.0138	1.0	0.0
4	12	3	0.625	0.0955	1.4624	0.267	0.2965	0.0425	0.8802	0.026	1.0	0.0
4	13	3	0.75	0.0722	1.0197	0.2813	0.2426	0.0767	0.8802	0.0276	1.0	0.0
