G	zvf_obs	zvf_iid	delta_div	delta_div_rel	in_frontier_range
2	0.838	0.731	0.10699999999999998	0.14637482900136797	no
4	0.7635	0.5538	0.2097	0.3786565547128928	yes
8	0.6906	0.3264	0.36419999999999997	1.1158088235294117	no
16	0.6312	0.114	0.5172	4.536842105263157	no
summary			mean=0.2995	std=0.1795	range=0.4102 cv=0.5994
slope_vs_logG			slope=0.1998	intercept=-0.0467	t=15.738
