task	key	n_pairs	mean_diff	ci_lo	ci_hi	p
arithmetic_easy	partial_spear_rho	5	0.082814	-0.002477	0.152999	0.142298
arithmetic_easy	q10	5	-0.006374	-0.020568	0.010809	0.538122
arithmetic_easy	q25	5	-0.020391	-0.047153	0.007832	0.269674
arithmetic_easy	q50	5	-0.013161	-0.036495	0.011394	0.407264
arithmetic_easy	q75	5	-0.020617	-0.051901	0.009786	0.289011
arithmetic_easy	q90	5	0.006020	-0.108980	0.147924	0.937238
arithmetic_easy	iqr_q	5	-0.000226	-0.054493	0.047173	0.993941
arithmetic_easy	tail_ratio	5	-0.059525	-0.623445	0.433453	0.848697
arithmetic_easy	monotone_q	5	0.040000	-0.600000	0.880000	0.929145
gsm8k_cot	partial_spear_rho	3	-0.025362	-0.174861	0.119689	0.793700
gsm8k_cot	q10	3	-0.003206	-0.006333	0.000947	0.276529
gsm8k_cot	q25	3	-0.006171	-0.008253	-0.002949	0.063481
gsm8k_cot	q50	3	-0.006186	-0.008817	-0.003643	0.053687
gsm8k_cot	q75	3	-0.005285	-0.007033	-0.004253	0.026527
gsm8k_cot	q90	3	-0.007512	-0.008631	-0.005816	0.012916
gsm8k_cot	iqr_q	3	0.000886	-0.001621	0.003999	0.645312
gsm8k_cot	tail_ratio	3	-0.198005	-0.937767	0.303417	0.652336
gsm8k_cot	monotone_q	3	-0.300000	-0.700000	0.000000	0.286254
