kind	method	n_runs	mean_zvf_pool	mean_zvf_std_pool	zvf_lag1_mean	zvf_phase1_mean	zvf_phase2_mean	zvf_phase3_mean	auc_above_zvf05	auc_above_zvf07	auc_above_zvf09	reward_zvf_corr
groupsize_zvf_sweep	grpo_G16	3	0.63125	0.37325465527012686	0.9220425849990507	0.1346153846153846	0.7900641025641026	0.9449404761904762	0.25104166666666666	0.12395833333333335	0.023749999999999993	0.7907995980790492
groupsize_zvf_sweep	grpo_G2	3	0.8380208333333333	0.18669330346381752	0.8401798045031654	0.6057692307692307	0.9198717948717948	0.9776785714285715	0.3442708333333333	0.17572916666666671	0.040416666666666656	0.7951316919907866
groupsize_zvf_sweep	grpo_G4	3	0.7635416666666667	0.27324515733971005	0.8767008459265359	0.4182692307692308	0.8862179487179488	0.9702380952380952	0.3078125	0.15760416666666668	0.032291666666666656	0.8479269214259397
groupsize_zvf_sweep	grpo_G8	3	0.6906249999999999	0.3356918290274804	0.9015569948941153	0.2483974358974359	0.8493589743589745	0.9538690476190476	0.2755208333333334	0.13989583333333336	0.02833333333333332	0.8254625100947423
tinker_prompt_zvf	qwen3_8b_gsm8k	3	0.15833333333333333	0.3635030076395389	-0.0054415438282177835	0.17676767676767677	0.15422885572139303	0.14427860696517414	0.07916666666666666	0.04750000000000001	0.015833333333333328	0.18954427930706752
variance_mitigation	aero	5	0.2202534	0.25848352427727583	0.9697959949837752	0.013487878787878788	0.08170363636363637	0.5554123529411765	0.0314812	0.0006364000000000014	0.0	0.6678026734590483
variance_mitigation	areal	5	0.12088456363636364	0.16714776305093676	0.9455704381182771	0.01305631313131313	0.027058787878787877	0.3171754213036566	0.0013177454545454548	0.0	0.0	0.5710011056856872
variance_mitigation	cppo	5	0.2951906	0.3058706761721724	0.9758070976989857	0.01185090909090909	0.17140666666666665	0.69034	0.065186	0.010495600000000008	0.0	0.7376152892242516
variance_mitigation	es	5	0.11421181818181818	0.10116005949943843	0.9184893910036793	0.011874141414141415	0.09325108927108927	0.2340853577106518	0.0	0.0	0.0	0.7713929963876062
variance_mitigation	gift	5	0.1142020909090909	0.16285356576997706	0.9431547440983064	0.012821666666666667	0.023014987714987716	0.30169384737678856	0.0009822363636363637	0.0	0.0	0.5517896721903823
variance_mitigation	grpo	5	0.4807964	0.3618270931074955	0.9929290167087389	0.0441288	0.5286744000000001	0.869586	0.1597758	0.06345120000000001	0.0008703999999999984	0.8623906477882335
variance_mitigation	mcgrpo	5	0.14605407272727272	0.19924236423313157	0.9582285199888743	0.011563181818181818	0.03274348894348895	0.3872597615262321	0.007854018181818183	0.0	0.0	0.5873584722551293
variance_mitigation	ngrpo	5	0.30034299999999997	0.2987856405601958	0.9764941896655296	0.014634545454545456	0.1929357575757576	0.6818964705882353	0.0619658	0.006800800000000008	0.0	0.7440071171467466
variance_mitigation	scafgrpo	5	0.31661400000000006	0.06491288866426798	0.7743896790395854	0.2495951515151515	0.31619515151515154	0.38206823529411765	0.0	0.0	0.0	0.8130480211599705
# Pillar 2 ZVF dynamics — iter14. Source: scripts/zvf_dynamics.py
