task	obs_rho	abs_obs	p_perm	null_mean	null_std	null_q025	null_q500	null_q975	n	B	spearman_p_param	point_rho_rvsreward
arithmetic_easy	-0.3683622351363518	0.3683622351363518	0.10771784564308713	-0.0003788029316169036	0.22800997495784758	-0.44519852958197115	0.0007532970043688174	0.44220417398960615	20	50000	0.11002550539486715	-0.3683622351363518
gsm8k_cot	-0.1576184553761279	0.1576184553761279	0.624247515049699	-0.001837060610570479	0.30035578217633413	-0.5779343363791357	-0.0035026323416917316	0.5744317040374439	12	50000	0.6246756664067578	-0.1576184553761279
