T_tokens	best_G	best_acc	G4_acc	G32_acc	delta_G32_minus_G4	relative_pct_G32_over_G4
1000000	8	0.48	0.41	0.42	0.01	2.44
4000000	16	0.69	0.55	0.66	0.11	20.0
16000000	32	0.84	0.63	0.84	0.21	33.33
64000000	32	0.88	0.64	0.88	0.24	37.5
AGG_AVG	—	0.7225	0.5575	0.7	0.1425	23.32
