metric	value
d_eff_obs_at_G2	0.3240
d_eff_obs_at_G4	0.9460
d_eff_obs_at_G8	2.4752
d_eff_obs_at_G16	5.9008
delta_div_mean	0.2995
delta_div_range	0.4102
isoyield_pred_within_factor2	3/4
wu_d_eff_ratio_G4_over_G32	0.0296
wu_alpha_calibrated_T1M	0.0068
wu_stepaware_alpha_full_fit	-0.6083
wu_stepaware_gamma_full_fit	-0.1642
wu_pred_retention_at_T1M	0.9762
wu_empirical_retention_at_T1M	0.9762
wu_pred_retention_at_T4M	0.9762
wu_empirical_retention_at_T4M	0.8333
wu_pred_retention_at_T16M	0.9762
wu_empirical_retention_at_T16M	0.7500
wu_pred_retention_at_T64M	0.9762
wu_empirical_retention_at_T64M	0.7273
