task	algo	q	n_seeds	fwd_abs_mean	bwd_abs_mean	fwd_ratio	bwd_ratio
arithmetic_easy	grpo	0	5	0.828446698489595	0.9898000327523183	0.325004623308031	0.2808907228472593
arithmetic_easy	grpo	1	5	0.606415780526339	0.9492718301184094	0.23790055857224685	0.26938941373749536
arithmetic_easy	grpo	2	5	0.14254006255607798	0.3486793361062886	0.05591932398523903	0.09895007831880523
arithmetic_easy	grpo	3	5	0.3381381622041092	0.6350575535857776	0.13265363509031675	0.18022001351151543
arithmetic_easy	grpo	4	5	0.6334897994127967	0.6009816479145635	0.24852185904416635	0.17054977158492468
arithmetic_easy	dr_grpo	0	5	0.8000344269425744	0.8793020630569922	0.29140867794821884	0.23892801230548444
arithmetic_easy	dr_grpo	1	5	0.5917825371555969	0.7095972604934017	0.21555393240312837	0.19281504059898533
arithmetic_easy	dr_grpo	2	5	0.7358528490909383	0.6904607414513391	0.2680308480442584	0.18761517737875116
arithmetic_easy	dr_grpo	3	5	0.27772953837532877	0.7250569497584273	0.10116164364878381	0.19701581867303108
arithmetic_easy	dr_grpo	4	5	0.34000422589777635	0.675779604181069	0.12384489795561064	0.183625951043748
gsm8k_cot	grpo	0	3	0.5589323182342402	0.7150209247156759	0.23629092805639063	0.19279120226805901
gsm8k_cot	grpo	1	3	0.44843643496143964	0.7778475685407731	0.18957834058708156	0.20973115993758323
gsm8k_cot	grpo	2	3	0.3862762203319141	0.2077958191385957	0.16329985511786319	0.05602801877992051
gsm8k_cot	grpo	3	3	0.24054550297347596	0.9442652050566056	0.10169159714535177	0.25460237295173965
gsm8k_cot	grpo	4	3	0.7312508158571852	1.0638544742654765	0.30913927909331285	0.2868472460626976
gsm8k_cot	dr_grpo	0	3	0.6121460070384414	1.0364466795388603	0.19684033303513682	0.3386868991644842
gsm8k_cot	dr_grpo	1	3	0.5988011348434918	0.7927701760555954	0.19254918507866534	0.25905903118703055
gsm8k_cot	dr_grpo	2	3	0.2505755207251241	0.48994938576418506	0.08057451716235547	0.16010417273549077
gsm8k_cot	dr_grpo	3	3	0.7142776792704248	0.18499516847896405	0.2296815704922597	0.060452159488251306
gsm8k_cot	dr_grpo	4	3	0.9340603132006146	0.5560298231144176	0.30035439423158267	0.18169773742474318
