experiment	seed	sigma_dL_grpo	sigma_dL_drgrpo
drgrpo_gsm8k_cot	42	8.582353	5.818983
drgrpo_gsm8k_cot	123	5.142670	6.075106
drgrpo_gsm8k_cot	456	7.172114	6.921258
drgrpo_vs_grpo	42	0.335133	0.311416
drgrpo_vs_grpo	123	0.365088	0.288639
drgrpo_vs_grpo	456	0.351995	0.369644
drgrpo_vs_grpo	789	0.281977	0.316628
drgrpo_vs_grpo	1024	0.284965	0.316481
