# Pillar 2 iter74 ZVF Markov-chain dynamics
# Source: scripts/zvf_iter74.py
setting	n_rows	zvf_value	absorbing_H_emp	selfloop_H_emp	frac_H	interpretation
hi=0.2, lo=0.05	45	0.2343	0.4434	0.9712	0.2222	abs>=0.5 dominant? False
hi=0.3, lo=0.1	45	0.2343	0.3235	0.8627	0.2222	abs>=0.5 dominant? False
hi=0.5, lo=0.1	45	0.2343	0.1789	0.6505	0.1111	abs>=0.5 dominant? False
hi=0.5, lo=0.2	45	0.2343	0.1789	0.6505	0.1111	abs>=0.5 dominant? False
hi=0.65, lo=0.1	45	0.2343	0.1189	0.421	0.0	abs>=0.5 dominant? False
