task	window	n_seeds	mean_sever	mean_baseline_ZVF	mean_neg_delta_ZVF	rho_sever_vs_baseline_ZVF	p_sever_vs_baseline_ZVF	rho_sever_vs_neg_delta_ZVF	p_sever_vs_neg_delta_ZVF
arithmetic_easy	0	5	0.05492858050540779	0.40125	0.095	-0.7	0.1881204043741873	-0.7999999999999999	0.10408803866182788
arithmetic_easy	1	5	-0.02812078706769503	0.9262499999999999	0.04874999999999998	0.6	0.28475697986529386	0.20519567041703082	0.7405819415910723
arithmetic_easy	2	5	-0.2891997856905983	0.9587499999999999	0.013749999999999974	-0.5642880936468347	0.3217233358243003	-0.30779350562554625	0.614384002810333
arithmetic_easy	3	5	-0.17800029617584948	0.9737500000000001	0.009999999999999986	-0.5642880936468347	0.3217233358243003	0.09999999999999999	0.8728885715695384
gsm8k_cot	0	3	-0.029423530138404336	0.33928571428571425	-0.029761904761904767	0.5	0.6666666666666666	0.5	0.6666666666666666
gsm8k_cot	1	3	0.21240789433172527	0.3489583333333333	0.015625	-0.8660254037844387	0.33333333333333326	-0.8660254037844387	0.33333333333333326
gsm8k_cot	2	3	-0.009852415685410842	0.3452380952380953	0.02380952380952382	-0.5	0.6666666666666666	-0.5	0.6666666666666666
gsm8k_cot	3	3	0.4437805368766781	0.3072916666666667	-0.08333333333333333	0.0	1.0	-0.5	0.6666666666666666
