model	params_B	arch	n_steps	model_name	n_params	param_p1	param_p2	ss_res	r2	aic	bic	hit_bound
Qwen3.5-4B	4.0	dense	30	A_saturation_exp	2	0.8168486300005405	4.999999999999108	0.03455	-0.053	-113.8598	-111.0574	False
Qwen3.5-4B	4.0	dense	30	B_michaelis_menten	2	0.816803661779681	0.0010000000000000059	0.033059	-0.0075	-115.1833	-112.3809	False
Qwen3.5-4B	4.0	dense	30	C_hill_n2	2	0.8167000384174951	0.0010000000000000163	0.032812	-0.0	-115.4085	-112.6061	False
Qwen3.5-4B	4.0	dense	30	D_power_law	2	0.8175112163533632	4.999999999998283	0.041735	-0.272	-108.192	-105.3896	False
Qwen3.5-4B	4.0	dense	30	E_linear	2	0.8239237277263975	-0.00046604695010269396	0.032324	0.0149	-115.8584	-113.056	False
Qwen3-8B	8.0	dense	30	A_saturation_exp	2	0.2959303703527258	0.6071529332775216	0.130772	0.0771	-73.9287	-71.1263	False
Qwen3-8B	8.0	dense	30	B_michaelis_menten	2	0.3122631377109634	0.8296613617222358	0.121459	0.1428	-76.1451	-73.3427	False
Qwen3-8B	8.0	dense	30	C_hill_n2	2	0.292935727913915	0.8294206202218184	0.130499	0.079	-73.9913	-71.1889	False
Qwen3-8B	8.0	dense	30	D_power_law	2	0.31297789793473474	1.062178054085323	0.121715	0.141	-76.0817	-73.2793	False
Qwen3-8B	8.0	dense	30	E_linear	2	0.2478461516214822	0.0024228289276463314	0.128501	0.0931	-74.4542	-71.6518	False
Llama-3.1-8B-Instruct	8.0	dense	30	A_saturation_exp	2	0.8689705363733269	4.999999999996851	0.033046	-0.0416	-115.1955	-112.3931	False
Llama-3.1-8B-Instruct	8.0	dense	30	B_michaelis_menten	2	0.8689101524141875	0.0010000000000000002	0.032012	-0.009	-116.1487	-113.3463	False
Llama-3.1-8B-Instruct	8.0	dense	30	C_hill_n2	2	0.8688000422058357	0.0010000000000001744	0.031726	-0.0	-116.4181	-113.6157	False
Llama-3.1-8B-Instruct	8.0	dense	30	D_power_law	2	0.8697177928532328	4.9999999999999	0.03897	-0.2283	-110.2484	-107.446	False
Llama-3.1-8B-Instruct	8.0	dense	30	E_linear	2	0.9220063618587608	-0.0034326685080523192	0.005243	0.8347	-170.4251	-167.6227	False
Qwen3-32B	32.0	dense	3	A_saturation_exp	2	0.25016409923607463	4.999999999999998	0.004024	-0.0388	-7.3287	-9.1315	False
Qwen3-32B	32.0	dense	3	B_michaelis_menten	2	0.2498427743564022	0.0010000000053990866	0.003888	-0.0038	-7.4316	-9.2343	False
Qwen3-32B	32.0	dense	3	C_hill_n2	2	0.2497001002558971	0.0010000000000222795	0.003874	-0.0	-7.4429	-9.2456	False
Qwen3-32B	32.0	dense	3	D_power_law	2	0.2522591253365063	4.999999999969862	0.004582	-0.1828	-6.9392	-8.742	False
Qwen3-32B	32.0	dense	3	E_linear	2	0.33771866163996017	-0.044009330819980125	0.0	1.0	-195.8513	-197.654	False
Qwen3.5-27B	27.0	dense	3	A_saturation_exp	2	0.4379578027407873	4.999999999999999	0.043362	-0.0204	-0.1967	-1.9995	False
Qwen3.5-27B	27.0	dense	3	B_michaelis_menten	2	0.4375347793395478	0.0010000000000955525	0.042581	-0.002	-0.2513	-2.054	False
Qwen3.5-27B	27.0	dense	3	C_hill_n2	2	0.43730015514361165	0.0010000000000134415	0.042496	-0.0	-0.2572	-2.06	False
Qwen3.5-27B	27.0	dense	3	D_power_law	2	0.4410716393923858	4.999999999999999	0.046504	-0.0943	0.0131	-1.7896	False
Qwen3.5-27B	27.0	dense	3	E_linear	2	0.7288333163248638	-0.1457666593337509	0.0	1.0	-100.6608	-102.4636	False
gpt-oss-20B	20.0	moe	30	A_saturation_exp	2	0.8414391992487779	2.7850938006719272	0.043929	0.0499	-106.6547	-103.8523	False
gpt-oss-20B	20.0	moe	30	B_michaelis_menten	2	0.8527953423353392	0.12177427844476442	0.037284	0.1936	-111.5753	-108.7729	False
gpt-oss-20B	20.0	moe	30	C_hill_n2	2	0.8433212703684987	0.29474753882686533	0.04186	0.0947	-108.1027	-105.3003	False
gpt-oss-20B	20.0	moe	30	D_power_law	2	0.843044255764219	3.525616424448177	0.042644	0.0777	-107.5455	-104.7431	False
gpt-oss-20B	20.0	moe	30	E_linear	2	0.8045208971635865	0.002263167924920405	0.034726	0.249	-113.7074	-110.905	False
Qwen3-30B-MoE	30.0	moe	5	A_saturation_exp	2	0.3277535574384508	3.286148979334613	0.001247	0.1012	-23.2944	-24.0755	False
Qwen3-30B-MoE	30.0	moe	5	B_michaelis_menten	2	0.3273093790554334	0.014239880988680276	0.001378	0.0067	-22.7943	-23.5754	False
Qwen3-30B-MoE	30.0	moe	5	C_hill_n2	2	0.32773896937117075	0.16426728982794944	0.001337	0.036	-22.9439	-23.725	False
Qwen3-30B-MoE	30.0	moe	5	D_power_law	2	0.32761417719822916	4.999999999988064	0.001298	0.0644	-23.0935	-23.8746	False
Qwen3-30B-MoE	30.0	moe	5	E_linear	2	0.33005793461766997	-0.001619311539233488	0.001361	0.0189	-22.8562	-23.6373	False
Qwen3-30B-MoE-Inst	30.0	moe	3	A_saturation_exp	2	1.0022562532283836	4.999999999998201	3e-05	nan	-22.0053	-23.8081	False
Qwen3-30B-MoE-Inst	30.0	moe	3	B_michaelis_menten	2	1.0006109702804937	0.0010000327187023273	0.0	nan	-36.5052	-38.308	False
Qwen3-30B-MoE-Inst	30.0	moe	3	C_hill_n2	2	1.0000004625409638	0.0010118975881573636	0.0	nan	-75.8805	-77.6833	False
Qwen3-30B-MoE-Inst	30.0	moe	3	D_power_law	2	1.012070895999058	4.999999999919177	0.000568	nan	-13.2036	-15.0063	False
Qwen3-30B-MoE-Inst	30.0	moe	3	E_linear	2	0.9999999999999895	4.592807431120905e-15	0.0	nan	-186.351	-188.1538	False
DeepSeek-V3.1	685.0	moe	20	A_saturation_exp	2	0.8438425935032658	4.999969425255733	0.042015	0.0008	-62.5517	-60.5603	False
DeepSeek-V3.1	685.0	moe	20	B_michaelis_menten	2	0.8437040679280041	0.0010000000000292134	0.04218	-0.0031	-62.4733	-60.4818	False
DeepSeek-V3.1	685.0	moe	20	C_hill_n2	2	0.843556340284229	0.0010000000044117457	0.042049	-0.0	-62.5356	-60.5441	False
DeepSeek-V3.1	685.0	moe	20	D_power_law	2	0.8450626697551369	4.999999999999979	0.043205	-0.0275	-61.9932	-60.0017	False
DeepSeek-V3.1	685.0	moe	20	E_linear	2	0.8945034556060016	-0.004852112478537889	0.026393	0.3723	-71.8505	-69.859	False
Nemotron-120B	120.0	dense	20	A_saturation_exp	2	1.9999999999999998	0.010491723356085014	0.269506	0.6412	-25.3804	-23.3889	False
Nemotron-120B	120.0	dense	20	B_michaelis_menten	2	1.9999999998769582	89.4532694847992	0.283559	0.6225	-24.3638	-22.3723	False
Nemotron-120B	120.0	dense	20	C_hill_n2	2	1.9999999999978206	35.45017253933825	0.156401	0.7918	-36.2637	-34.2723	False
Nemotron-120B	120.0	dense	20	D_power_law	2	1.9999999999999998	0.04652294328466684	0.495225	0.3407	-13.212	-11.2205	False
Nemotron-120B	120.0	dense	20	E_linear	2	-0.13515777265707318	0.029538835491171138	0.170949	0.7724	-34.485	-32.4935	False
Qwen3-235B-MoE	235.0	moe	4	A_saturation_exp	2	1.0016902771540703	4.99999999999982	3.4e-05	nan	-31.3488	-32.5762	False
Qwen3-235B-MoE	235.0	moe	4	B_michaelis_menten	2	1.000520707727804	0.001000085083278957	0.0	nan	-49.7936	-51.021	False
Qwen3-235B-MoE	235.0	moe	4	C_hill_n2	2	1.0000003587377582	0.00100498586939216	0.0	nan	-102.872	-104.0995	False
Qwen3-235B-MoE	235.0	moe	4	D_power_law	2	1.0090810139119104	4.999999999993057	0.000671	nan	-19.4227	-20.6501	False
Qwen3-235B-MoE	235.0	moe	4	E_linear	2	0.9999999999999984	5.316862420929155e-16	0.0	nan	-264.5267	-265.7541	False
Kimi-K2-Thinking	1000.0	moe	20	A_saturation_exp	2	0.8501436049915269	4.999999999999996	0.087687	-0.0205	-47.8367	-45.8452	False
Kimi-K2-Thinking	1000.0	moe	20	B_michaelis_menten	2	0.8500489505184072	0.0010000000000026856	0.086329	-0.0047	-48.149	-46.1575	False
Kimi-K2-Thinking	1000.0	moe	20	C_hill_n2	2	0.8499079770951797	0.0010000000173852688	0.085928	-0.0	-48.242	-46.2505	False
Kimi-K2-Thinking	1000.0	moe	20	D_power_law	2	0.8511773468806749	4.999999999999999	0.095526	-0.1117	-46.1242	-44.1328	False
Kimi-K2-Thinking	1000.0	moe	20	E_linear	2	0.967034990248268	-0.011154959181479832	0.00318	0.963	-114.1757	-112.1843	False
