regression	n	observed_slope	null_mean	null_sd	z_score	p_two_sided	p_positive	p_negative	n_perm	rejects_H0_at_0.05
log10(lambda) ~ log10(N)	12	-0.138	-0.0031	0.3873	-0.348	0.7382	0.6343	0.3657	10000	0
R_inf ~ log10(N)	12	-0.1587	-0.0042	0.2243	-0.689	0.5061	0.7417	0.2583	10000	0
