T_tokens	G	heldout_acc	tokens_per_step	approx_optimizer_steps	acc_per_M_tokens	rank_by_acc_per_M	acc_per_optimizer_step
1000000	4	0.41	131072	7	0.41	4	0.05857143
1000000	8	0.48	262144	3	0.48	1	0.16
1000000	16	0.47	524288	1	0.47	2	0.47
1000000	32	0.42	1048576	0	0.42	3	0.42
1000000	64	0.35	2097152	0	0.35	5	0.35
4000000	4	0.55	131072	30	0.1375	5	0.01833333
4000000	8	0.67	262144	15	0.1675	2	0.04466667
4000000	16	0.69	524288	7	0.1725	1	0.09857143
4000000	32	0.66	1048576	3	0.165	3	0.22
4000000	64	0.58	2097152	1	0.145	4	0.58
16000000	4	0.63	131072	122	0.0394	5	0.00516393
16000000	8	0.78	262144	61	0.0488	4	0.01278689
16000000	16	0.82	524288	30	0.0512	2	0.02733333
16000000	32	0.84	1048576	15	0.0525	1	0.056
16000000	64	0.8	2097152	7	0.05	3	0.11428571
64000000	4	0.64	131072	488	0.01	5	0.00131148
64000000	8	0.8	262144	244	0.0125	4	0.00327869
64000000	16	0.85	524288	122	0.0133	3	0.00696721
64000000	32	0.88	1048576	61	0.0138	1	0.01442623
64000000	64	0.87	2097152	30	0.0136	2	0.029
