model	params_B	family	n_steps	R_max_pw	lambda_pw	t_peak_pw	gamma_pw	rmse_pw	r2_pw	aic_pw	bic_pw	aicc_pw	R_max_sat	lambda_sat	rmse_sat	aic_sat	bic_sat	aicc_sat	max_pred_pw	max_obs	delta_aic	delta_bic	delta_aicc	F_stat	F_p
Qwen3.5-4B	4.0	dense-instruct	30	0.9297	2.0963	1.0000	-0.0001	0.2153	0.0000	-1.0186	3.1850	-0.0955	0.8167	10.0000	0.2153	-3.0180	-0.2156	-2.5735	0.8179	1.0000	1.9994	3.4006	2.4780	0.0006	0.9812
Qwen3-8B	8.0	dense-base	30	0.2549	18.1720	13.0000	-0.0060	0.1662	0.0417	-16.5381	-12.3345	-15.6150	0.2854	10.0000	0.1698	-17.2602	-14.4578	-16.8158	0.3567	0.6250	0.7222	2.1234	1.2008	1.1749	0.2880
Llama-3.1-8B-Instruct	8.0	dense-instruct	30	0.9478	3.6444	1.0000	0.0037	0.1600	0.0393	-18.8120	-14.6084	-17.8889	0.8688	10.0000	0.1633	-19.6082	-16.8058	-19.1637	0.9230	1.0000	0.7962	2.1974	1.2748	1.1055	0.3024
DeepSeek-V3.1	685.0	moe-instruct	20	0.8418	25.9797	3.0000	-0.0003	0.1362	0.0001	-16.9853	-13.9981	-15.4853	0.8438	10.0000	0.1362	-18.9830	-16.9915	-18.2771	0.8461	1.0000	1.9977	2.9935	2.7918	0.0019	0.9655
Nemotron-120B	120.0	dense-base	20	1.0500	0.0702	3.0000	0.0014	0.2401	0.0393	5.6876	8.6748	7.1876	0.1820	0.9902	0.2433	4.2139	6.2053	4.9197	0.1994	0.8750	1.4737	2.4695	2.2678	0.4533	0.5098
