task	spearman_sever_vs_baseline_ZVF	spearman_p_param	p_perm_two_sided	null_mean	null_std	null_q025	null_q500	null_q975	n_points	B_perm	mean_sever	mean_baseline_ZVF
arithmetic_easy	-0.43573464905456366	0.05480402566287093	0.05639887202255955	-0.0015983018319144333	0.230350023248954	-0.44706148833145765	-0.0022615985245046555	0.44402717697774735	20	50000	-0.11009807210718374	0.8150000000000001
gsm8k_cot	-0.1335695190804731	0.6789884575548799	0.6749465010699786	-0.0006709407842652817	0.2998007675032328	-0.5799729117967911	0.0	0.5764579244525682	12	50000	0.15422812134614705	0.3351934523809524
