task	algo	seed	tau	slope	intercept	ols_slope	ols_pearson_r	n_steps
arithmetic_easy	grpo	42	0.1	-0.015227	0.448157	-0.251725	-0.9529	40
arithmetic_easy	grpo	42	0.25	-0.010125	0.844833	-0.251725	-0.9529	40
arithmetic_easy	grpo	42	0.5	-0.002801	1.000819	-0.251725	-0.9529	40
arithmetic_easy	grpo	42	0.75	0.004981	0.976957	-0.251725	-0.9529	40
arithmetic_easy	grpo	42	0.9	0.014233	0.936486	-0.251725	-0.9529	40
arithmetic_easy	grpo	123	0.1	-0.009649	0.491766	-0.231371	-0.9327	40
arithmetic_easy	grpo	123	0.25	-0.004106	0.8233	-0.231371	-0.9327	40
arithmetic_easy	grpo	123	0.5	0.004132	0.957627	-0.231371	-0.9327	40
arithmetic_easy	grpo	123	0.75	0.014677	0.93157	-0.231371	-0.9327	40
arithmetic_easy	grpo	123	0.9	0.01916	0.913008	-0.231371	-0.9327	40
arithmetic_easy	grpo	456	0.1	-0.009365	0.524809	-0.238681	-0.9385	40
arithmetic_easy	grpo	456	0.25	-0.007037	0.858	-0.238681	-0.9385	40
arithmetic_easy	grpo	456	0.5	0.000388	0.989656	-0.238681	-0.9385	40
arithmetic_easy	grpo	456	0.75	0.008524	0.959946	-0.238681	-0.9385	40
arithmetic_easy	grpo	456	0.9	0.016538	0.926386	-0.238681	-0.9385	40
arithmetic_easy	grpo	789	0.1	-0.015805	0.534128	-0.254608	-0.963	40
arithmetic_easy	grpo	789	0.25	-0.015848	0.858468	-0.254608	-0.963	40
arithmetic_easy	grpo	789	0.5	-0.007625	1.022101	-0.254608	-0.963	40
arithmetic_easy	grpo	789	0.75	0.0042	0.981171	-0.254608	-0.963	40
arithmetic_easy	grpo	789	0.9	0.010449	0.95422	-0.254608	-0.963	40
arithmetic_easy	grpo	1024	0.1	-0.012139	0.463426	-0.256458	-0.9547	40
arithmetic_easy	grpo	1024	0.25	-0.003929	0.805058	-0.256458	-0.9547	40
arithmetic_easy	grpo	1024	0.5	-0.003245	1.006409	-0.256458	-0.9547	40
arithmetic_easy	grpo	1024	0.75	0.009227	0.957504	-0.256458	-0.9547	40
arithmetic_easy	grpo	1024	0.9	0.018624	0.915925	-0.256458	-0.9547	40
arithmetic_easy	dr_grpo	42	0.1	-0.014521	0.472118	-0.253287	-0.9041	40
arithmetic_easy	dr_grpo	42	0.25	-0.011703	0.816727	-0.253287	-0.9041	40
arithmetic_easy	dr_grpo	42	0.5	0.003894	0.942562	-0.253287	-0.9041	40
arithmetic_easy	dr_grpo	42	0.75	0.01229	0.938589	-0.253287	-0.9041	40
arithmetic_easy	dr_grpo	42	0.9	0.017942	0.918813	-0.253287	-0.9041	40
arithmetic_easy	dr_grpo	123	0.1	-0.007324	0.449487	-0.280131	-0.9264	40
arithmetic_easy	dr_grpo	123	0.25	-0.005789	0.812283	-0.280131	-0.9264	40
arithmetic_easy	dr_grpo	123	0.5	0.00636	0.933519	-0.280131	-0.9264	40
arithmetic_easy	dr_grpo	123	0.75	0.025905	0.876534	-0.280131	-0.9264	40
arithmetic_easy	dr_grpo	123	0.9	0.038556	0.825888	-0.280131	-0.9264	40
arithmetic_easy	dr_grpo	456	0.1	-0.01026	0.52202	-0.237036	-0.896	40
arithmetic_easy	dr_grpo	456	0.25	-0.010436	0.840992	-0.237036	-0.896	40
arithmetic_easy	dr_grpo	456	0.5	0.002981	0.961359	-0.237036	-0.896	40
arithmetic_easy	dr_grpo	456	0.75	0.012497	0.941855	-0.237036	-0.896	40
arithmetic_easy	dr_grpo	456	0.9	0.019736	0.912994	-0.237036	-0.896	40
arithmetic_easy	dr_grpo	789	0.1	-0.017539	0.511065	-0.276716	-0.9219	40
arithmetic_easy	dr_grpo	789	0.25	-0.01574	0.836745	-0.276716	-0.9219	40
arithmetic_easy	dr_grpo	789	0.5	-0.006115	1.01576	-0.276716	-0.9219	40
arithmetic_easy	dr_grpo	789	0.75	0.005826	0.974119	-0.276716	-0.9219	40
arithmetic_easy	dr_grpo	789	0.9	0.013865	0.93869	-0.276716	-0.9219	40
arithmetic_easy	dr_grpo	1024	0.1	-0.013379	0.486367	-0.271634	-0.9544	40
arithmetic_easy	dr_grpo	1024	0.25	-0.010347	0.830139	-0.271634	-0.9544	40
