# Pillar 2 Iter 66 — empirical CDF of per-step ZVF per library
# Columns: method, zvf, ecdf
method	zvf	ecdf
aero	0.0	0.19797979797979798
aero	0.02	0.3212121212121212
aero	0.04	0.41818181818181815
aero	0.06	0.48282828282828283
aero	0.08	0.5212121212121212
aero	0.1	0.5454545454545454
aero	0.12	0.5636363636363636
aero	0.14	0.5797979797979798
aero	0.16	0.591919191919192
aero	0.18	0.6060606060606061
aero	0.2	0.6181818181818182
aero	0.22	0.6303030303030303
aero	0.24	0.6484848484848484
aero	0.26	0.6525252525252525
aero	0.28	0.6666666666666666
aero	0.3	0.6747474747474748
aero	0.32	0.6767676767676768
aero	0.34	0.6909090909090909
aero	0.36	0.705050505050505
aero	0.38	0.7090909090909091
aero	0.4	0.7131313131313132
aero	0.42	0.7252525252525253
aero	0.44	0.7393939393939394
aero	0.46	0.7434343434343434
aero	0.48	0.7595959595959596
aero	0.5	0.7656565656565657
aero	0.52	0.7757575757575758
aero	0.54	0.7838383838383839
aero	0.56	0.797979797979798
aero	0.58	0.8141414141414142
aero	0.6	0.8363636363636363
aero	0.62	0.8565656565656565
aero	0.64	0.8686868686868687
aero	0.66	0.907070707070707
aero	0.68	0.9333333333333333
aero	0.7	0.9656565656565657
aero	0.72	0.98989898989899
aero	0.74	0.9959595959595959
aero	0.76	1.0
aero	0.78	1.0
aero	0.8	1.0
aero	0.82	1.0
aero	0.84	1.0
aero	0.86	1.0
aero	0.88	1.0
aero	0.9	1.0
aero	0.92	1.0
aero	0.94	1.0
aero	0.96	1.0
aero	0.98	1.0
aero	1.0	1.0
areal	0.0	0.2624254473161034
areal	0.02	0.40556660039761433
areal	0.04	0.5248508946322068
areal	0.06	0.6023856858846919
areal	0.08	0.6500994035785288
areal	0.1	0.679920477137177
areal	0.12	0.6998011928429424
areal	0.14	0.7117296222664016
areal	0.16	0.7276341948310139
areal	0.18	0.7395626242544732
areal	0.2	0.7514910536779325
areal	0.22	0.7693836978131213
areal	0.24	0.7813121272365805
areal	0.26	0.7932405566600398
areal	0.28	0.805168986083499
areal	0.3	0.8131212723658051
areal	0.32	0.8210735586481114
areal	0.34	0.8330019880715706
areal	0.36	0.8429423459244533
areal	0.38	0.8588469184890656
areal	0.4	0.8747514910536779
areal	0.42	0.8866799204771372
areal	0.44	0.9025844930417495
areal	0.46	0.9184890656063618
areal	0.48	0.9403578528827038
areal	0.5	0.9622266401590457
areal	0.52	0.974155069582505
areal	0.54	0.9880715705765407
areal	0.56	0.9920477137176938
areal	0.58	0.9960238568588469
areal	0.6	1.0
areal	0.62	1.0
areal	0.64	1.0
areal	0.66	1.0
areal	0.68	1.0
areal	0.7	1.0
areal	0.72	1.0
areal	0.74	1.0
areal	0.76	1.0
areal	0.78	1.0
areal	0.8	1.0
areal	0.82	1.0
areal	0.84	1.0
areal	0.86	1.0
areal	0.88	1.0
areal	0.9	1.0
areal	0.92	1.0
areal	0.94	1.0
areal	0.96	1.0
areal	0.98	1.0
areal	1.0	1.0
cppo	0.0	0.17575757575757575
cppo	0.02	0.27474747474747474
cppo	0.04	0.34949494949494947
cppo	0.06	0.397979797979798
cppo	0.08	0.4404040404040404
cppo	0.1	0.4626262626262626
cppo	0.12	0.47878787878787876
cppo	0.14	0.49696969696969695
cppo	0.16	0.5070707070707071
cppo	0.18	0.5232323232323233
cppo	0.2	0.5373737373737374
cppo	0.22	0.5474747474747474
cppo	0.24	0.5595959595959596
cppo	0.26	0.5676767676767677
cppo	0.28	0.5777777777777777
cppo	0.3	0.591919191919192
cppo	0.32	0.5959595959595959
cppo	0.34	0.604040404040404
cppo	0.36	0.6141414141414141
cppo	0.38	0.6202020202020202
cppo	0.4	0.6262626262626263
cppo	0.42	0.6343434343434343
cppo	0.44	0.6424242424242425
cppo	0.46	0.6484848484848484
cppo	0.48	0.6626262626262627
cppo	0.5	0.6747474747474748
cppo	0.52	0.6808080808080809
cppo	0.54	0.6888888888888889
cppo	0.56	0.701010101010101
cppo	0.58	0.7090909090909091
cppo	0.6	0.7191919191919192
cppo	0.62	0.7252525252525253
cppo	0.64	0.7414141414141414
cppo	0.66	0.7535353535353535
cppo	0.68	0.7757575757575758
cppo	0.7	0.8080808080808081
cppo	0.72	0.8303030303030303
cppo	0.74	0.8848484848484849
cppo	0.76	0.9272727272727272
cppo	0.78	0.9535353535353536
cppo	0.8	0.9818181818181818
cppo	0.82	0.9919191919191919
cppo	0.84	0.997979797979798
cppo	0.86	1.0
cppo	0.88	1.0
cppo	0.9	1.0
cppo	0.92	1.0
cppo	0.94	1.0
cppo	0.96	1.0
cppo	0.98	1.0
cppo	1.0	1.0
es	0.0	0.18886679920477137
es	0.02	0.2783300198807157
es	0.04	0.3757455268389662
es	0.06	0.4393638170974155
es	0.08	0.4850894632206759
es	0.1	0.5129224652087475
es	0.12	0.532803180914513
es	0.14	0.5685884691848907
es	0.16	0.5964214711729622
es	0.18	0.6381709741550696
es	0.2	0.6759443339960238
es	0.22	0.7673956262425448
es	0.24	0.856858846918489
es	0.26	0.9304174950298211
es	0.28	0.9642147117296223
es	0.3	0.9960238568588469
es	0.32	1.0
es	0.34	1.0
es	0.36	1.0
es	0.38	1.0
es	0.4	1.0
es	0.42	1.0
es	0.44	1.0
es	0.46	1.0
es	0.48	1.0
es	0.5	1.0
es	0.52	1.0
es	0.54	1.0
es	0.56	1.0
es	0.58	1.0
es	0.6	1.0
es	0.62	1.0
es	0.64	1.0
es	0.66	1.0
es	0.68	1.0
es	0.7	1.0
es	0.72	1.0
es	0.74	1.0
es	0.76	1.0
es	0.78	1.0
es	0.8	1.0
es	0.82	1.0
es	0.84	1.0
es	0.86	1.0
es	0.88	1.0
es	0.9	1.0
es	0.92	1.0
es	0.94	1.0
es	0.96	1.0
es	0.98	1.0
es	1.0	1.0
gift	0.0	0.23658051689860835
gift	0.02	0.42147117296222664
gift	0.04	0.558648111332008
gift	0.06	0.6361829025844931
gift	0.08	0.6660039761431411
gift	0.1	0.6958250497017893
gift	0.12	0.7157057654075547
gift	0.14	0.7296222664015904
gift	0.16	0.7435387673956262
gift	0.18	0.757455268389662
gift	0.2	0.7753479125248509
gift	0.22	0.7852882703777336
gift	0.24	0.7952286282306164
gift	0.26	0.8071570576540755
gift	0.28	0.8170974155069582
gift	0.3	0.8250497017892644
gift	0.32	0.8389662027833003
