task	algo	seed	total_effect_L_R	direct_effect_L_R_given_Z	indirect_via_Z	length_on_zvf	rew_on_zvf_given_L	prop_mediated
arithmetic_easy_qwen2.5-0.5b	grpo	42	-0.9529	-0.8962	-0.4174	-0.7459	0.5596	0.4381
arithmetic_easy_qwen2.5-0.5b	grpo	123	-0.9327	-0.7992	-0.5064	-0.8036	0.6302	0.5429
arithmetic_easy_qwen2.5-0.5b	grpo	456	-0.9385	-0.857	-0.5207	-0.7674	0.6786	0.5549
arithmetic_easy_qwen2.5-0.5b	grpo	789	-0.963	-0.8459	-0.5029	-0.8649	0.5815	0.5223
arithmetic_easy_qwen2.5-0.5b	grpo	1024	-0.9547	-0.8378	-0.0561	-0.869	0.0645	0.0587
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	-0.9041	-0.8637	-0.4264	-0.6171	0.691	0.4716
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	-0.9264	-0.8462	-0.4386	-0.7226	0.607	0.4735
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	-0.896	-0.8901	-0.5657	-0.651	0.869	0.6313
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	-0.9219	-0.8485	-0.5763	-0.7439	0.7747	0.6251
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	-0.9544	-0.8983	-0.5229	-0.7728	0.6766	0.5478
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	-0.3947	-0.4037	-0.0739	0.1229	-0.6018	0.1873
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	-0.1879	-0.0997	-0.0969	0.2184	-0.4435	0.5155
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	-0.7699	-0.7607	-0.0996	0.2443	-0.4076	0.1294
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	-0.5575	-0.6408	-0.0639	0.0927	-0.6893	0.1146
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	-0.5924	-0.5808	-0.0544	0.1608	-0.3386	0.0919
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	-0.7627	-0.7995	-0.1226	0.1946	-0.6298	0.1607
