method	zvf_risk_mean	zvf_risk_sd	mag_mean	csd_mean	drift_mean	failure_rate	n_seeds
scaling_law_Qwen3-8B	0.6898447488846503		0.95	0.85	0.015	1.0	1
scaling_law_Nemotron-120B	0.6898447488846503		0.95	0.85	0.015	1.0	1
scaling_law_Llama-3.1-8B-Instruct	0.6898447488846503		0.95	0.85	0.015	1.0	1
scaling_law_Qwen3.5-4B	0.6898447488846503		0.95	0.85	0.015	1.0	1
scaling_law_DeepSeek-V3.1	0.6898447488846503		0.95	0.85	0.015	1.0	1
grpo	0.5776880179873356	0.11611218393258155	0.48078000000000004	0.53178	0.0099088	0.0	5
tool_use_llama-8b-inst	0.5473808273460361		1.0	0.95	0.0	1.0	1
tool_use_qwen3-32b	0.5473808273460361		1.0	0.95	0.0	1.0	1
ngrpo	0.446662878834344	0.04246410441651125	0.30036	0.43113999999999997	0.0019144000000000001	0.0	5
aero	0.430050653146807	0.10680097219086818	0.22025999999999998	0.39266	0.00041279999999999995	0.0	5
cppo	0.42661061087943886	0.011378374478388523	0.2952	0.41513999999999995	0.0017502	0.0	5
mcgrpo	0.40341125968913405	0.05983023192630892	0.14604	0.35144000000000003	0.00015560000000000001	0.2	5
areal	0.3319206130908743	0.04376740696251432	0.12090000000000001	0.23742000000000002	-2.5999999999999954e-06	0.2	5
gift	0.3145005437766656	0.011087466508288618	0.1142	0.20493999999999998	0.0001	0.2	5
es	0.3051097720985813	0.008343595603705727	0.11421999999999999	0.12274	0.0011132	0.2	5
scafgrpo	0.22532716228739566	0.019291317922919618	0.31664	0.01686	0.0018834	0.0	5
