T_tokens	T_M	G	gu_empirical	acc	acc_lo	acc_hi	egt	egt_per_Gmax	gu_times_acc
1000000	1.0	4	1.7223	0.41	0.38	0.44	6.8892	0.10764375	0.706143
1000000	1.0	8	1.1172	0.48	0.45	0.51	8.9376	0.13965	0.536256
1000000	1.0	16	0.6563	0.47	0.44	0.5	10.5008	0.164075	0.308461
1000000	1.0	32	0.3424	0.42	0.39	0.45	10.9568	0.1712	0.143808
1000000	1.0	64	0.1712	0.35	0.32	0.38	10.9568	0.1712	0.059919999999999994
4000000	4.0	4	2.1287	0.55	0.52	0.58	8.5148	0.13304375	1.170785
4000000	4.0	8	1.4574	0.67	0.64	0.7	11.6592	0.182175	0.976458
4000000	4.0	16	0.8661	0.69	0.66	0.72	13.8576	0.216525	0.597609
4000000	4.0	32	0.4759	0.66	0.63	0.69	15.2288	0.23795	0.314094
4000000	4.0	64	0.2462	0.58	0.55	0.61	15.7568	0.2462	0.14279599999999998
16000000	16.0	4	2.3311	0.63	0.6	0.66	9.3244	0.14569375	1.468593
16000000	16.0	8	1.606	0.78	0.75	0.81	12.848	0.20075	1.25268
16000000	16.0	16	0.9587	0.82	0.79	0.85	15.3392	0.239675	0.786134
16000000	16.0	32	0.5593	0.84	0.81	0.87	17.8976	0.27965	0.469812
16000000	16.0	64	0.2934	0.8	0.77	0.83	18.7776	0.2934	0.23472
64000000	64.0	4	2.4177	0.64	0.61	0.67	9.6708	0.15110625	1.547328
64000000	64.0	8	1.6615	0.8	0.77	0.83	13.292	0.2076875	1.3292000000000002
64000000	64.0	16	0.9924	0.85	0.82	0.88	15.8784	0.2481	0.84354
64000000	64.0	32	0.5819	0.88	0.85	0.91	18.6208	0.29095	0.512072
64000000	64.0	64	0.318	0.87	0.84	0.9	20.352	0.318	0.27666
