task	algo	n_seeds	n_slopes_identified	mean_beta_early	mean_beta_mid	mean_beta_late	median_late_minus_early	median_late_minus_mid	median_mid_minus_early	median_r_over_l_first	median_r_over_l_last	median_r_over_l_drift	median_antitrap_slope
arithmetic_easy	grpo	5	5	-0.242687	-0.013309	0.014252	0.256981	0.002431	0.224288	0.075096	0.2208	0.144555	-0.251725
arithmetic_easy	dr_grpo	5	5	-0.25155	0.022591	-0.009184	0.252897	-0.004705	0.257602	0.073809	0.219826	0.146414	-0.271634
gsm8k_cot	grpo	3	3	-0.023183	-0.016274	-0.004664	0.006235	0.012704	0.007027	0.001075	0.001761	0.000686	-0.004474
gsm8k_cot	dr_grpo	3	3	-0.012319	-0.0158	-0.02055	-0.011771	-0.00475	-0.007022	0.001157	0.001694	0.000608	-0.011273
