method	seed	tau	first_crossing_step	collapse_onset_step	lead_time	zvf_mean
grpo	0	0.4	43	74	31	0.4813
grpo	0	0.5	47	74	27	0.4813
grpo	0	0.6	50	74	24	0.4813
grpo	0	0.7	55	74	19	0.4813
grpo	1	0.4	45	82	37	0.4793
grpo	1	0.5	47	82	35	0.4793
grpo	1	0.6	50	82	32	0.4793
grpo	1	0.7	56	82	26	0.4793
grpo	2	0.4	44	83	39	0.4803
grpo	2	0.5	48	83	35	0.4803
grpo	2	0.6	53	83	30	0.4803
grpo	2	0.7	55	83	28	0.4803
grpo	3	0.4	46	NA	NA	0.4806
grpo	3	0.5	48	NA	NA	0.4806
grpo	3	0.6	53	NA	NA	0.4806
grpo	3	0.7	56	NA	NA	0.4806
grpo	4	0.4	44	NA	NA	0.4824
grpo	4	0.5	48	NA	NA	0.4824
grpo	4	0.6	49	NA	NA	0.4824
grpo	4	0.7	55	NA	NA	0.4824
aero	0	0.4	71	NA	NA	0.2215
aero	0	0.5	77	NA	NA	0.2215
aero	0	0.6	83	NA	NA	0.2215
aero	0	0.7	96	NA	NA	0.2215
aero	1	0.4	71	NA	NA	0.2185
aero	1	0.5	77	NA	NA	0.2185
aero	1	0.6	81	NA	NA	0.2185
aero	1	0.7	89	NA	NA	0.2185
aero	2	0.4	70	NA	NA	0.2219
aero	2	0.5	76	NA	NA	0.2219
aero	2	0.6	85	NA	NA	0.2219
aero	2	0.7	91	NA	NA	0.2219
aero	3	0.4	71	NA	NA	0.2178
aero	3	0.5	77	NA	NA	0.2178
aero	3	0.6	81	NA	NA	0.2178
aero	3	0.7	90	NA	NA	0.2178
aero	4	0.4	72	NA	NA	0.2216
aero	4	0.5	76	NA	NA	0.2216
aero	4	0.6	81	NA	NA	0.2216
aero	4	0.7	95	NA	NA	0.2216
cppo	0	0.4	63	NA	NA	0.2951
cppo	0	0.5	66	NA	NA	0.2951
cppo	0	0.6	72	NA	NA	0.2951
cppo	0	0.7	78	NA	NA	0.2951
cppo	1	0.4	63	NA	NA	0.2980
cppo	1	0.5	66	NA	NA	0.2980
cppo	1	0.6	71	NA	NA	0.2980
cppo	1	0.7	76	NA	NA	0.2980
cppo	2	0.4	64	NA	NA	0.2964
cppo	2	0.5	68	NA	NA	0.2964
cppo	2	0.6	71	NA	NA	0.2964
cppo	2	0.7	78	NA	NA	0.2964
cppo	3	0.4	62	NA	NA	0.2946
cppo	3	0.5	68	NA	NA	0.2946
cppo	3	0.6	72	NA	NA	0.2946
cppo	3	0.7	77	NA	NA	0.2946
cppo	4	0.4	62	NA	NA	0.2919
cppo	4	0.5	68	NA	NA	0.2919
cppo	4	0.6	72	NA	NA	0.2919
cppo	4	0.7	79	NA	NA	0.2919
ngrpo	0	0.4	62	NA	NA	0.3036
ngrpo	0	0.5	65	NA	NA	0.3036
ngrpo	0	0.6	68	NA	NA	0.3036
ngrpo	0	0.7	77	NA	NA	0.3036
ngrpo	1	0.4	62	NA	NA	0.3020
ngrpo	1	0.5	65	NA	NA	0.3020
ngrpo	1	0.6	70	NA	NA	0.3020
ngrpo	1	0.7	78	NA	NA	0.3020
ngrpo	2	0.4	61	NA	NA	0.2994
ngrpo	2	0.5	66	NA	NA	0.2994
ngrpo	2	0.6	69	NA	NA	0.2994
ngrpo	2	0.7	80	NA	NA	0.2994
ngrpo	3	0.4	61	NA	NA	0.2975
ngrpo	3	0.5	66	NA	NA	0.2975
ngrpo	3	0.6	71	NA	NA	0.2975
ngrpo	3	0.7	81	NA	NA	0.2975
ngrpo	4	0.4	62	NA	NA	0.2993
ngrpo	4	0.5	66	NA	NA	0.2993
ngrpo	4	0.6	70	NA	NA	0.2993
ngrpo	4	0.7	79	NA	NA	0.2993
scafgrpo	0	0.4	81	NA	NA	0.3151
scafgrpo	0	0.5	never	NA	NA	0.3151
scafgrpo	0	0.6	never	NA	NA	0.3151
scafgrpo	0	0.7	never	NA	NA	0.3151
scafgrpo	1	0.4	59	NA	NA	0.3126
scafgrpo	1	0.5	never	NA	NA	0.3126
scafgrpo	1	0.6	never	NA	NA	0.3126
scafgrpo	1	0.7	never	NA	NA	0.3126
scafgrpo	2	0.4	66	NA	NA	0.3131
scafgrpo	2	0.5	never	NA	NA	0.3131
scafgrpo	2	0.6	never	NA	NA	0.3131
scafgrpo	2	0.7	never	NA	NA	0.3131
scafgrpo	3	0.4	70	NA	NA	0.3216
scafgrpo	3	0.5	never	NA	NA	0.3216
scafgrpo	3	0.6	never	NA	NA	0.3216
scafgrpo	3	0.7	never	NA	NA	0.3216
scafgrpo	4	0.4	72	NA	NA	0.3208
scafgrpo	4	0.5	never	NA	NA	0.3208
scafgrpo	4	0.6	never	NA	NA	0.3208
scafgrpo	4	0.7	never	NA	NA	0.3208
mcgrpo	0	0.4	81	NA	NA	0.1454
mcgrpo	0	0.5	88	NA	NA	0.1454
mcgrpo	0	0.6	97	NA	NA	0.1454
mcgrpo	0	0.7	never	NA	NA	0.1454
mcgrpo	1	0.4	82	NA	NA	0.1525
mcgrpo	1	0.5	88	NA	NA	0.1525
mcgrpo	1	0.6	98	NA	NA	0.1525
mcgrpo	1	0.7	never	NA	NA	0.1525
mcgrpo	2	0.4	82	NA	NA	0.1499
mcgrpo	2	0.5	84	NA	NA	0.1499
mcgrpo	2	0.6	97	NA	NA	0.1499
mcgrpo	2	0.7	never	NA	NA	0.1499
mcgrpo	3	0.4	83	NA	NA	0.1441
mcgrpo	3	0.5	86	NA	NA	0.1441
mcgrpo	3	0.6	90	NA	NA	0.1441
mcgrpo	3	0.7	never	NA	NA	0.1441
mcgrpo	4	0.4	81	NA	NA	0.1505
mcgrpo	4	0.5	88	NA	NA	0.1505
mcgrpo	4	0.6	98	NA	NA	0.1505
mcgrpo	4	0.7	never	NA	NA	0.1505
gift	0	0.4	89	NA	NA	0.1144
gift	0	0.5	94	NA	NA	0.1144
gift	0	0.6	never	NA	NA	0.1144
gift	0	0.7	never	NA	NA	0.1144
