target_acc	T_star_G4_tokens	T_star_G8_tokens	T_star_G16_tokens	T_star_G32_tokens	T_star_G64_tokens	gpu_hr_G4	gpu_hr_G32	usd_G4	usd_G32	ratio_G4_over_G32_tokens	extra_gpu_hr_G4_vs_G32	extra_usd_G4_vs_G32
0.5	3309394.0	725689.0	814492.0	1501885.0	3169653.0	57.5	26.1	6.62	3.0	2.2	31.4	3.62
0.6	18432872.0	3253808.0	2976914.0	4195855.0	7253101.0	320.0	72.8	36.87	8.39	4.39	247.2	28.47
0.7	78740022.0	11570358.0	8905830.0	10001463.0	14604505.0	1367.0	173.6	157.48	20.0	7.87	1193.4	137.48
0.8	276979929.0	34722066.0	23010428.0	21224932.0	26778834.0	4808.7	368.5	553.96	42.45	13.05	4440.2	511.51
0.85	490289575.0	57185501.0	35407117.0	29868198.0	35264258.0	8512.0	518.5	980.58	59.74	16.42	7993.4	920.84
