# Pillar 2 ZVF operating-point sweep (iter 122).
# Per-threshold tau sweep over the 23 pooled cells (iter 118).
# prediction = (mean_zvf > tau); target = is_collapse (positive
# class = collapse) or is_collapse_or_drift (positive class =
# collapse or drift). The single-AUROC figure in iter 118 averaged
# the bimodal failure-mode; the PR sweep makes both modes
# separately visible. Source: scripts/zvf_iso_yield_iter122.py
target	tau	tp	fp	fn	tn	n_positive	precision	recall	f1
collapse	0.30	2	8	0	7	7	0.2000	0.2857	0.2353
collapse_or_drift	0.30	2	8	4	3	11	0.2000	0.1818	0.1905
collapse	0.40	2	6	0	9	7	0.2500	0.2857	0.2667
collapse_or_drift	0.40	2	6	4	5	11	0.2500	0.1818	0.2105
collapse	0.50	2	5	0	10	7	0.2857	0.2857	0.2857
collapse_or_drift	0.50	2	5	4	6	11	0.2857	0.1818	0.2222
collapse	0.60	2	5	0	10	7	0.2857	0.2857	0.2857
collapse_or_drift	0.60	2	5	4	6	11	0.2857	0.1818	0.2222
collapse	0.70	2	3	0	12	7	0.4000	0.2857	0.3333
collapse_or_drift	0.70	2	3	4	8	11	0.4000	0.1818	0.2500
collapse	0.80	2	1	0	14	7	0.6667	0.2857	0.4000
collapse_or_drift	0.80	2	1	4	10	11	0.6667	0.1818	0.2857
