task	seed	window	eff_gr	eff_dr	delta_eff	abs_bwd_gr	abs_bwd_dr	delta_ccfa	fwd_gr	fwd_dr	delta_fwd	phi_L_gr	phi_L_dr	delta_phi_L	cum_dR_gr	cum_dR_dr	cum_dL_gr	cum_dL_dr
arithmetic_easy	42	0	0.25677	0.256637	-0.000133	0.414435	0.539859	-0.125423	0.31094	0.394488	0.083548	0.637499	0.680179	0.042681	0.4	0.407813	1.557812	1.589062
arithmetic_easy	42	1	0.281704	0.326613	0.044909	0.620673	0.055537	0.565136	-0.298845	-0.227989	0.070856	0.602365	0.649099	0.046733	0.454688	0.50625	1.614063	1.55
arithmetic_easy	42	2	0.292611	0.331658	0.039047	0.59398	0.230502	0.363478	0.117934	-0.66296	-0.780893	-0.609458	-0.489286	0.120172	0.464063	0.515625	1.585938	1.554688
arithmetic_easy	42	3	0.284722	0.322154	0.037432	0.39017	0.155655	0.234515	0.585567	0.31436	-0.271207	-0.172525	-0.158251	0.014274	0.448438	0.495312	1.575	1.5375
arithmetic_easy	123	0	0.254386	0.276169	0.021783	0.199295	0.282226	-0.082931	0.302058	0.394778	0.09272	0.562093	0.734967	0.172874	0.3625	0.3875	1.425	1.403125
arithmetic_easy	123	1	0.23436	0.286693	0.052332	0.22679	0.499742	-0.272952	0.170312	-0.045596	-0.215907	0.15023	0.389165	0.238935	0.392188	0.457812	1.673438	1.596875
arithmetic_easy	123	2	0.304348	0.367299	0.062951	0.453887	0.512157	-0.058271	0.577617	0.263865	-0.313751	0.097968	0.654141	0.556172	0.426563	0.484375	1.401562	1.31875
arithmetic_easy	123	3	0.289256	0.341731	0.052474	0.253489	0.345672	-0.092183	0.862626	-0.683384	-1.54601	0.096421	0.052682	-0.043739	0.4375	0.4875	1.5125	1.426563
arithmetic_easy	456	0	0.227092	0.221884	-0.005207	0.006085	0.153427	-0.147343	0.480412	0.525818	0.045406	0.667684	0.667297	-0.000386	0.35625	0.342188	1.56875	1.542188
arithmetic_easy	456	1	0.28632	0.276736	-0.009584	0.527873	0.26937	0.258503	0.391897	0.136774	-0.255123	-0.382609	-0.214076	0.168533	0.421875	0.392188	1.473437	1.417188
arithmetic_easy	456	2	0.272109	0.307613	0.035504	0.223176	0.253853	-0.030677	-0.175594	-0.430019	-0.254425	-0.227923	-0.258773	-0.030849	0.4375	0.467188	1.607812	1.51875
arithmetic_easy	456	3	0.27522	0.303681	0.028461	0.729016	0.115994	0.613021	0.271134	-0.020439	-0.291573	-0.241697	-0.004316	0.237381	0.439063	0.464063	1.595312	1.528125
arithmetic_easy	789	0	0.250777	0.248954	-0.001823	0.240416	0.552819	-0.312403	0.342283	-0.675082	-1.017365	0.673186	0.602497	-0.070689	0.378125	0.371875	1.507812	1.49375
arithmetic_easy	789	1	0.261481	0.300774	0.039293	0.150368	0.123378	0.02699	-0.112342	0.324342	0.436684	-0.134931	-0.145126	-0.010194	0.435937	0.485937	1.667187	1.615625
arithmetic_easy	789	2	0.269826	0.300203	0.030377	0.655206	0.873647	-0.218441	0.290913	0.33741	0.046497	-0.296509	-0.458133	-0.161623	0.435937	0.4625	1.615625	1.540625
arithmetic_easy	789	3	0.262082	0.295455	0.033373	0.065653	0.160709	-0.095056	0.403767	0.225498	-0.178269	0.208333	0.208333	0.0	0.440625	0.4875	1.68125	1.65
arithmetic_easy	1024	0	0.314815	0.26178	-0.053035	0.506054	0.157356	0.348698	0.237613	0.210831	-0.026782	0.670733	0.599205	-0.071528	0.425	0.390625	1.35	1.492188
arithmetic_easy	1024	1	0.281716	0.305439	0.023723	0.570449	0.666139	-0.09569	0.79569	0.615587	-0.180104	0.109282	0.181635	0.072353	0.471875	0.45625	1.675	1.49375
arithmetic_easy	1024	2	0.264135	0.282099	0.017964	0.504802	0.063647	0.441155	-0.500212	-0.144756	0.355457	0.491488	0.5	0.008512	0.489062	0.470313	1.851562	1.667188
arithmetic_easy	1024	3	0.27039	0.298714	0.028324	0.081103	0.529458	-0.448354	0.022859	-0.053272	-0.076131	-0.382653	-0.357143	0.02551	0.476562	0.471875	1.7625	1.579688
gsm8k_cot	42	0	0.031496	0.011923	-0.019573	0.695365	0.766287	-0.070922	0.280178	-0.695771	-0.97595	-0.329618	-0.471274	-0.141656	0.072917	0.049479	2.315104	4.14974
gsm8k_cot	42	1	0.020101	0.029389	0.009289	0.999326	0.525708	0.473618	-0.274305	-0.169005	0.1053	-0.069998	0.226629	0.296626	0.088542	0.10026	4.404948	3.411458
gsm8k_cot	42	2	0.010893	0.018269	0.007376	0.951967	0.411035	0.540932	1.018521	-0.079438	-1.097959	0.269032	0.253917	-0.015115	0.13151	0.123698	12.072917	6.770833
gsm8k_cot	42	3	0.001597	0.004501	0.002903	0.229274	0.080382	0.148892	0.470069	0.031794	-0.438275	-0.003501	0.376876	0.380376	0.041667	0.049479	26.084635	10.99349
gsm8k_cot	123	0	-0.030585	-0.038038	-0.007453	0.180637	0.549299	-0.368661	0.004286	0.016524	0.012238	-0.410907	-0.258023	0.152884	-0.029948	-0.049479	0.979167	1.300781
gsm8k_cot	123	1	-0.025284	-0.054773	-0.029489	0.536863	0.701619	-0.164756	-0.535977	-0.007249	0.528728	-0.332557	-0.808305	-0.475748	-0.026042	-0.045573	1.029948	0.832031
gsm8k_cot	123	2	-0.002879	0.001457	0.004337	0.408787	0.009409	0.399379	1.339597	-0.064021	-1.403618	0.509904	-0.549893	-1.059797	-0.018229	0.005208	6.330729	3.574219
gsm8k_cot	123	3	-0.005197	-0.009093	-0.003896	0.44172	1.031711	-0.589991	0.727707	0.550686	-0.177021	0.069552	0.03252	-0.037033	-0.061198	-0.057292	11.776042	6.300781
gsm8k_cot	456	0	0.039688	0.058824	0.019136	0.721042	1.044509	-0.323467	-0.128363	0.08272	0.211083	1.326454	-0.124962	-1.451415	0.152344	0.106771	3.838542	1.815104
gsm8k_cot	456	1	0.02072	0.015473	-0.005247	0.550918	0.061938	0.48898	0.19758	0.375617	0.178037	-0.921532	-0.653506	0.268026	0.128906	0.095052	6.221354	6.143229
gsm8k_cot	456	2	0.015468	0.026918	0.01145	0.451	0.564718	-0.113719	0.675656	0.59029	-0.085366	-0.237254	-0.270174	-0.03292	0.070312	0.08724	4.545573	3.240885
gsm8k_cot	456	3	0.033094	0.042845	0.00975	1.64209	0.59645	1.04564	-0.603487	-0.310681	0.292805	-0.539013	-0.666178	-0.127165	0.15625	0.126302	4.721354	2.947917
