T_M	acc_G4	acc_G32	acc_retention_R	egt_G4	egt_G32	egt_ratio_raw	egt_G4_compensated_8x	egt_ratio_compensated	token_multiplier_G32_over_G4	iso_compute_advantage_G32_over_G4_pct	iso_compute_verdict
1.0	0.41	0.42	0.9761904761904762	6.8892	10.9568	0.6287602219626168	55.1136	5.030081775700935	8.0	-403.00817757009344	G4_wins_at_iso_rollout
4.0	0.55	0.66	0.8333333333333334	8.5148	15.2288	0.559124816137844	68.1184	4.472998529102752	8.0	-347.2998529102752	G4_wins_at_iso_rollout
16.0	0.63	0.84	0.75	9.3244	17.8976	0.5209860539960666	74.5952	4.1678884319685325	8.0	-316.78884319685324	G4_wins_at_iso_rollout
64.0	0.64	0.88	0.7272727272727273	9.6708	18.6208	0.5193547001202956	77.3664	4.154837600962365	8.0	-315.4837600962365	G4_wins_at_iso_rollout
