g_small	g_large	slope_dR_per_log10T_overall	slope_dR_per_log10T_early_1to4M	slope_dR_per_log10T_late_4to64M	R_1M	R_4M	R_16M	R_64M	delta_R_1to64M
4	8	-0.029184	-0.055262	-0.017353	0.8542	0.8209	0.8077	0.8000	-0.0542
4	16	-0.064280	-0.124969	-0.036674	0.8723	0.7971	0.7683	0.7529	-0.1194
4	32	-0.137874	-0.237281	-0.088081	0.9762	0.8333	0.7500	0.7273	-0.2489
4	64	-0.243857	-0.370649	-0.176597	1.1714	0.9483	0.7875	0.7356	-0.4358
8	16	-0.043201	-0.083484	-0.024780	1.0213	0.9710	0.9512	0.9412	-0.0801
8	32	-0.130864	-0.212114	-0.088081	1.1429	1.0152	0.9286	0.9091	-0.2338
8	64	-0.255097	-0.359194	-0.195688	1.3714	1.1552	0.9750	0.9195	-0.4519
16	32	-0.087812	-0.122235	-0.066061	1.1190	1.0455	0.9762	0.9659	-0.1531
16	64	-0.209646	-0.254463	-0.176597	1.3429	1.1897	1.0250	0.9770	-0.3658
32	64	-0.108535	-0.103094	-0.105003	1.2000	1.1379	1.0500	1.0115	-0.1885
