T_tokens	argmax_G	argmax_acc	G4_acc	G32_acc	r_logG_acc	direction
1000000	8	0.48	0.41	0.42	-0.5447047794019223	decreasing
4000000	16	0.69	0.55	0.66	0.12909944487358016	increasing
16000000	32	0.84	0.63	0.84	0.757011164104465	increasing
64000000	32	0.88	0.64	0.88	0.8638065290038286	increasing
