T_tokens	G	acc_observed	signal_factor	noise_factor	batch_factor	multiplicative_product
1000000	4	0.41	0.8506	0.25	0.0156	0.0033
1000000	8	0.48	0.9918	0.3536	0.0156	0.0055
1000000	16	0.47	1.0	0.5	0.0156	0.0078
1000000	32	0.42	1.0	0.7071	0.0156	0.011
1000000	64	0.35	1.0	1.0	0.0156	0.0156
4000000	4	0.55	0.8675	0.25	0.0625	0.0136
4000000	8	0.67	0.9593	0.3536	0.0625	0.0212
4000000	16	0.69	0.9974	0.5	0.0625	0.0312
4000000	32	0.66	1.0	0.7071	0.0625	0.0442
4000000	64	0.58	1.0	1.0	0.0625	0.0625
16000000	4	0.63	0.8237	0.25	0.25	0.0515
16000000	8	0.78	0.863	0.3536	0.25	0.0763
16000000	16	0.82	0.9582	0.5	0.25	0.1198
16000000	32	0.84	0.9962	0.7071	0.25	0.1761
16000000	64	0.8	1.0	1.0	0.25	0.25
64000000	4	0.64	0.8155	0.25	1.0	0.2039
64000000	8	0.8	0.8323	0.3536	1.0	0.2943
64000000	16	0.85	0.9258	0.5	1.0	0.4629
64000000	32	0.88	0.9834	0.7071	1.0	0.6954
64000000	64	0.87	1.0	1.0	1.0	1.0
