model	params_B	arch	n_steps	r_mean	sat_R_max	sat_lambda	sat_t_80	sat_aic	hill_R_max	hill_K	hill_t_80	hill_aic	delta_aic_sat_minus_hill
Qwen3.5-4B	4.0	dense	30	0.8167	0.8168	5.0	0.3219	-113.8598	0.8167	0.001	0.002	-115.4085	1.5486
Qwen3-8B	8.0	dense	30	0.2854	0.2959	0.6072	2.6508	-73.9287	0.2929	0.8294	1.6588	-73.9913	0.0626
Llama-3.1-8B-Instruct	8.0	dense	30	0.8688	0.869	5.0	0.3219	-115.1955	0.8688	0.001	0.002	-116.4181	1.2226
Qwen3-32B	32.0	dense	3	0.2497	0.2502	5.0	0.3219	-7.3287	0.2497	0.001	0.002	-7.4429	0.1142
Qwen3.5-27B	27.0	dense	3	0.4373	0.438	5.0	0.3219	-0.1967	0.4373	0.001	0.002	-0.2572	0.0605
gpt-oss-20B	20.0	moe	30	0.8396	0.8414	2.7851	0.5779	-106.6547	0.8433	0.2947	0.5895	-108.1027	1.4479
Qwen3-30B-MoE	30.0	moe	5	0.3252	0.3278	3.2861	0.4898	-23.2944	0.3277	0.1643	0.3285	-22.9439	-0.3505
DeepSeek-V3.1	685.0	moe	20	0.8438	0.8438	5.0	0.3219	-62.5517	0.8436	0.001	0.002	-62.5356	-0.0161
Nemotron-120B	120.0	dense	20	0.175	2.0	0.0105	153.4007	-25.3804	2.0	35.4502	70.9003	-36.2637	10.8833
Kimi-K2-Thinking	1000.0	moe	20	0.85	0.8501	5.0	0.3219	-47.8367	0.8499	0.001	0.002	-48.242	0.4053
