model	model_short	params_B	n_steps	family	cv_rmse	cv_mae
Qwen3.5-4B	qwen3.5-4b	4.0	30	constant	0.2227	0.1931
Qwen3.5-4B	qwen3.5-4b	4.0	30	1seg_ols	0.2294	0.2
Qwen3.5-4B	qwen3.5-4b	4.0	30	saturation	0.6127	0.5483
Qwen3.5-4B	qwen3.5-4b	4.0	30	3seg	0.4859	0.3956
Qwen3-8B	qwen3-8b	8.0	30	constant	0.1756	0.1487
Qwen3-8B	qwen3-8b	8.0	30	1seg_ols	0.1796	0.1519
Qwen3-8B	qwen3-8b	8.0	30	saturation	0.2403	0.1949
Qwen3-8B	qwen3-8b	8.0	30	3seg	1.4272	0.5693
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	constant	0.1689	0.1254
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	1seg_ols	0.1704	0.1279
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	saturation	0.599	0.549
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	3seg	1.9932	1.2199
gpt-oss-20B	gpt-oss-20b	20.0	30	constant	0.1994	0.1776
gpt-oss-20B	gpt-oss-20b	20.0	30	1seg_ols	0.2024	0.1791
gpt-oss-20B	gpt-oss-20b	20.0	30	saturation	0.5921	0.5436
gpt-oss-20B	gpt-oss-20b	20.0	30	3seg	1.091	0.6117
DeepSeek-V3.1	deepseek-v3.1	685.0	20	constant	0.1434	0.1184
DeepSeek-V3.1	deepseek-v3.1	685.0	20	1seg_ols	0.1507	0.1244
DeepSeek-V3.1	deepseek-v3.1	685.0	20	saturation	0.7391	0.7083
DeepSeek-V3.1	deepseek-v3.1	685.0	20	3seg	0.9239	0.8151
Nemotron-120B	nemotron-120b	120.0	20	constant	0.2578	0.2132
Nemotron-120B	nemotron-120b	120.0	20	1seg_ols	0.2778	0.2244
Nemotron-120B	nemotron-120b	120.0	20	saturation	0.2685	0.1917
Nemotron-120B	nemotron-120b	120.0	20	3seg	0.4285	0.3414
Kimi-K2-Thinking	kimi-k2	1000.0	20	constant	0.1794	0.1395
Kimi-K2-Thinking	kimi-k2	1000.0	20	1seg_ols	0.1699	0.1367
Kimi-K2-Thinking	kimi-k2	1000.0	20	saturation	0.8525	0.8345
Kimi-K2-Thinking	kimi-k2	1000.0	20	3seg	2.059	1.4504
