T_tokens	G	acc	p_proxy	zvf_theoretical	gu_theoretical	acc_minus_p	retention_vs_max_G	zvf_implied_retention	zvf_residual
1000000	4	0.41	0.41	0.1494	0.8506	0.0	0.8542	0.8506	0.0036
1000000	8	0.48	0.48	0.0082	0.9918	0.0	1.0	0.9918	0.0082
1000000	16	0.47	0.47	0.0	1.0	0.0	0.9792	1.0	-0.0208
1000000	32	0.42	0.42	0.0	1.0	0.0	0.875	1.0	-0.125
1000000	64	0.35	0.35	0.0	1.0	0.0	0.7292	1.0	-0.2708
4000000	4	0.55	0.55	0.1325	0.8675	0.0	0.7971	0.8675	-0.0704
4000000	8	0.67	0.67	0.0407	0.9593	0.0	0.971	0.9593	0.0117
4000000	16	0.69	0.69	0.0026	0.9974	0.0	1.0	0.9974	0.0026
4000000	32	0.66	0.66	0.0	1.0	0.0	0.9565	1.0	-0.0435
4000000	64	0.58	0.58	0.0	1.0	0.0	0.8406	1.0	-0.1594
16000000	4	0.63	0.63	0.1763	0.8237	0.0	0.75	0.8237	-0.0737
16000000	8	0.78	0.78	0.137	0.863	0.0	0.9286	0.863	0.0656
16000000	16	0.82	0.82	0.0418	0.9582	0.0	0.9762	0.9582	0.018
16000000	32	0.84	0.84	0.0038	0.9962	0.0	1.0	0.9962	0.0038
16000000	64	0.8	0.8	0.0	1.0	0.0	0.9524	1.0	-0.0476
64000000	4	0.64	0.64	0.1846	0.8154	0.0	0.7273	0.8155	-0.0882
64000000	8	0.8	0.8	0.1678	0.8322	0.0	0.9091	0.8323	0.0768
64000000	16	0.85	0.85	0.0743	0.9257	0.0	0.9659	0.9258	0.0401
64000000	32	0.88	0.88	0.0167	0.9833	0.0	1.0	0.9834	0.0166
64000000	64	0.87	0.87	0.0001	0.9999	0.0	0.9886	1.0	-0.0114
