model	params_B	family	n	early_mean	late_mean	delta_le	zero_frac	peak	mean	slope	resid_var	mode
Qwen3.5-4B	4.0	dense	30	0.8854166666666666	0.9375	0.05208333333333337	0.0	1.0	0.8166666666666667	8.34260289209909e-05	0.0463362841428748	plateau
Qwen3-8B	8.0	dense	30	0.3125	0.3645833333333333	0.052083333333333315	0.06666666666666667	0.625	0.28541666666666665	0.00318409343715239	0.028064245766901495	plateau
Llama-3.1-8B-Instruct	8.0	dense	30	0.9166666666666666	0.9479166666666666	0.03125	0.0	1.0	0.86875	-0.003740266963292556	0.025605591861327402	plateau
Qwen3-32B	32.0	dense	3	0.312	0.125	-0.187	0.0	0.312	0.24966666666666668	-0.09350000000000003	0.0019427222222222222	drift
Qwen3.5-27B	27.0	dense	3	0.562	0.0	-0.562	0.3333333333333333	0.75	0.43733333333333335	-0.28099999999999986	0.048880222222222214	drift
gpt-oss-20B	20.0	moe	30	0.8229166666666666	0.96875	0.14583333333333337	0.0	1.0	0.8395833333333333	0.003545606229143477	0.03621531640093932	plateau
Qwen3-30B-MoE	30.0	moe	5	0.188	0.438	0.25	0.0	0.5	0.3252	0.05619999999999996	0.022503280000000007	plateau
Qwen3-30B-MoE-Inst	30.0	moe	3	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	converged
DeepSeek-V3.1	685.0	moe	20	0.875	0.84375	-0.03125	0.0	1.0	0.84375	9.39849624060142e-05	0.01855439379699248	plateau
Nemotron-120B	120.0	dense	20	0.21875	0.25	0.03125	0.55	0.875	0.175	0.0026315789473684193	0.05976973684210527	collapse
Qwen3-235B-MoE	235.0	moe	4	1.0	1.0	0.0	0.0	1.0	1.0	-1.18687833744435e-16	2.465190328815662e-32	converged
Kimi-K2-Thinking	1000.0	moe	20	0.96875	0.8125	-0.15625	0.0	1.0	0.85	-0.012218045112781972	0.02409891917293233	drift
