task	key	n_pairs	mean_diff	ci_lo	ci_hi	p
arithmetic	hurst_L	5	-0.0411	-0.1187	0.0193	0.2130
arithmetic	hurst_R	5	0.0323	-0.0364	0.1015	0.3690
arithmetic	coh_vlow	5	-0.0038	-0.0859	0.0897	0.8800
arithmetic	coh_low	5	-0.0583	-0.1302	0.0089	0.1100
arithmetic	coh_mid	5	-0.0592	-0.3209	0.1929	0.6320
arithmetic	coh_high	5	0.0071	-0.1096	0.1013	0.8360
arithmetic	F_lr	5	0.2607	-1.3023	1.9841	0.7830
arithmetic	F_rl	5	1.1730	-0.4724	2.7871	0.1880
arithmetic	spearman_rho	5	0.1263	0.0519	0.2011	0.0000
gsm8k_cot	hurst_L	3	0.0115	-0.0363	0.0618	0.7300
gsm8k_cot	hurst_R	3	-0.0219	-0.1043	0.0298	0.5860
gsm8k_cot	coh_vlow	3	0.4196	-0.0860	0.7162	0.0780
gsm8k_cot	coh_low	3	0.2703	0.1301	0.4042	0.0000
gsm8k_cot	coh_mid	3	0.1729	-0.0514	0.5525	0.5430
gsm8k_cot	coh_high	3	-0.0738	-0.2712	0.2419	0.5320
gsm8k_cot	F_lr	3	0.6738	0.1210	1.2186	0.0000
gsm8k_cot	F_rl	3	-3.5896	-9.7476	-0.1449	0.0000
gsm8k_cot	spearman_rho	3	-0.1167	-0.2647	0.0153	0.0610
