model	params_B	arch	n_steps	peak_step	peak_reward	r_peak_pd	t_peak_pd	gamma_pd	rss_pd	aic_pd	bic_pd	early_after_peak	late_after_peak	late_minus_peak	is_collapse_violator
Qwen3.5-4B	4.0	dense	30	1	1.0000	0.8167	30.0000	0.0500	1.3901	-1.0182	3.1853	nan	nan	-0.1897	False
Qwen3-8B	8.0	dense	30	13	0.6250	0.2854	30.0000	0.0500	0.8647	-15.2603	-11.0567	nan	nan	-0.3419	False
Llama-3.1-8B-Instruct	8.0	dense	30	1	1.0000	0.8688	30.0000	0.0500	0.7996	-17.6086	-13.4050	nan	nan	-0.1358	False
Qwen3-32B	32.0	dense	3	1	0.3120	nan	nan	nan	nan	nan	nan	nan	nan	-0.0935	False
Qwen3.5-27B	27.0	dense	3	2	0.7500	nan	nan	nan	nan	nan	nan	nan	nan	-0.7500	False
gpt-oss-20B	20.0	moe	30	3	1.0000	0.8396	30.0000	0.0500	1.1147	-7.6417	-3.4381	nan	nan	-0.1574	False
Qwen3-30B-MoE	30.0	moe	5	4	0.5000	0.3252	5.0000	0.0500	0.1441	2.4560	1.2843	nan	nan	-0.0620	False
Qwen3-30B-MoE-Inst	30.0	moe	3	1	1.0000	nan	nan	nan	nan	nan	nan	nan	nan	0.0000	False
DeepSeek-V3.1	685.0	moe	20	3	1.0000	0.8438	20.0000	0.0500	0.3711	-16.9831	-13.9959	nan	nan	-0.1691	False
Nemotron-120B	120.0	dense	20	3	0.8750	0.1750	20.0000	0.0500	1.2000	6.4893	9.4765	nan	nan	-0.7206	True
Qwen3-235B-MoE	235.0	moe	4	1	1.0000	nan	nan	nan	nan	nan	nan	nan	nan	0.0000	False
Kimi-K2-Thinking	1000.0	moe	20	1	1.0000	0.8500	20.0000	0.0500	0.5812	-8.0086	-5.0214	nan	nan	-0.1579	False
