task	algo	seed	cumulative_tax	cumulative_tax_norm	L_baseline_last	L_actual_last	R_first	R_last
arithmetic_easy	grpo	42	0.0	0.0	56.5556	4.6875	0.1406	1.0
arithmetic_easy	grpo	123	0.0	0.0	33.6	4.5	0.2344	1.0
arithmetic_easy	grpo	456	0.0	0.0	26.8571	4.375	0.2734	1.0
arithmetic_easy	grpo	789	0.0	0.0	25.0508	4.4297	0.2812	0.9453
arithmetic_easy	grpo	1024	0.0	0.0	39.4402	4.5	0.1797	0.9609
arithmetic_easy	dr_grpo	42	0.0	0.0	39.56	4.6875	0.1953	1.0
arithmetic_easy	dr_grpo	123	0.0	0.0	37.8696	4.5	0.1797	1.0
arithmetic_easy	dr_grpo	456	0.0	0.0	26.6473	4.4062	0.2734	0.9922
arithmetic_easy	dr_grpo	789	0.0	0.0	27.9806	4.4375	0.2422	0.9297
arithmetic_easy	dr_grpo	1024	0.0	0.0	35.2778	4.5	0.2109	0.9922
gsm8k_cot	grpo	42	189.7141	0.033941	352.6031	166.8281	0.1562	0.2812
gsm8k_cot	grpo	123	1031.4844	0.181309	142.3828	176.375	0.3125	0.2344
gsm8k_cot	grpo	456	253.9625	0.044092	431.475	191.9219	0.1562	0.3438
gsm8k_cot	dr_grpo	42	598.101	0.104575	326.0677	180.5938	0.2344	0.3906
gsm8k_cot	dr_grpo	123	1216.6875	0.213265	160.8359	180.6406	0.3125	0.2656
gsm8k_cot	dr_grpo	456	358.0562	0.06188	353.025	191.75	0.1562	0.2812
arithmetic_easy								
gsm8k_cot								
