anchor	params_B	n_steps	sigma_resid	pi_90_coverage
Qwen3.5-4B	4.0	30	0.22001201328645845	0.0
Qwen3-8B	8.0	30	0.17472401902400028	0.0
Llama-3.1-8B-Instruct	8.0	30	0.16709700445810083	0.0
gpt-oss-20B	20.0	30	0.19332296364213009	0.0
Qwen3-30B-MoE	30.0	5	0.19743009998421776	1.0
DeepSeek-V3.1	685.0	20	0.1385235104485194	0.0
Nemotron-120B	120.0	20	0.2445657045844105	0.0
Kimi-K2-Thinking	1000.0	20	0.17806598740539292	0.0
