task	q	side	delta	ci_lo	ci_hi	p	n
arithmetic_easy	0	bwd	0.06029654829573983	-0.6804672224319904	0.5375468029104146	0.6314	5
arithmetic_easy	0	fwd	-0.0008033115235691612	-0.8331945590732356	0.9388019952180872	0.6542	5
arithmetic_easy	0	bwd_signed	-0.40272628691412826	-0.6215746837489713	0.4001616137123879	0.6314	5
arithmetic_easy	0	fwd_signed	0.0376764285038278	-0.6218013672044259	0.307376698898983	0.6392	5
arithmetic_easy	1	bwd	0.009055772428962605	-1.003995302952561	0.37104079175705873	0.6376	5
arithmetic_easy	1	fwd	-0.4220824742890953	-0.7330598513345739	0.24862331246366465	0.637	5
arithmetic_easy	1	bwd_signed	0.012026201146915216	-1.023224715858309	1.1876166993933288	0.6376	5
arithmetic_easy	1	fwd_signed	-0.33396200299461326	-0.5711998285267382	0.02479335130575483	0.1088	5
arithmetic_easy	2	bwd	0.20365986227984478	-0.33569973491796046	0.500839769061838	0.1162	5
arithmetic_easy	2	fwd	-0.34041969963873864	-0.588471888206478	1.0301982316792144	0.1162	5
arithmetic_easy	2	bwd_signed	0.18059677869195612	-2.097480952896526	0.5402785656752221	0.6542	5
arithmetic_easy	2	fwd_signed	-0.2994147745925142	-0.6989757068390897	1.7522723851671305	0.6542	5
arithmetic_easy	3	bwd	-0.21274617076098312	-0.36993145746540157	-0.019697125021003625	0.0	5
arithmetic_easy	3	fwd	0.09190820774537678	-0.2972551139118855	0.3620181240876728	0.6352	5
arithmetic_easy	3	bwd_signed	0.06774777488390021	-0.06559795907251109	0.48975321992860943	0.637	5
arithmetic_easy	3	fwd_signed	-0.629417444380354	-0.8872041028250587	0.09283902014156245	0.1088	5
arithmetic_easy	4	bwd	0.051058727510681745	-0.20678745937447496	0.13598778399002287	0.6352	5
arithmetic_easy	4	fwd	-0.2003519791556877	-1.1766801589651696	0.12838079187389062	0.6228	5
arithmetic_easy	4	bwd_signed	0.13598778399002287	-0.8296590598116687	0.85869952384346	0.6464	5
arithmetic_easy	4	fwd_signed	-0.13315449582873679	-1.3753633758983987	0.014105167870017976	0.1106	5
gsm8k_cot	0	bwd	0.3665670596378763	0.02544349985013411	1.1865207504366446	0.0	3
gsm8k_cot	0	fwd	0.035880294298218596	0.006567166174210937	0.8744767638852274	0.0	3
gsm8k_cot	0	bwd_signed	0.1719837304629875	-0.2824062823174873	0.3445453380735572	0.5232	3
gsm8k_cot	0	fwd_signed	-0.0659566637041562	-0.09346271248176512	0.2942388217859497	0.5232	3
gsm8k_cot	1	bwd	-0.08122781106361132	-0.36334175160380555	1.0269408523718764	0.536	3
gsm8k_cot	1	fwd	0.43072175081677355	-0.8509790206939558	1.2088558968559309	0.5046	3
gsm8k_cot	1	bwd_signed	-0.37576496575971724	-1.1232409315799021	0.5364948000623269	0.536	3
gsm8k_cot	1	fwd_signed	-0.27487316528359407	-0.6867464393658419	0.7408634256212867	0.5232	3
gsm8k_cot	2	bwd	-0.18648541095355015	-0.5047706083374638	0.055916738872546	0.5232	3
gsm8k_cot	2	fwd	0.047503160105414444	-0.08645012373685934	0.17979924426900018	0.5046	3
gsm8k_cot	2	bwd_signed	-0.762345144091997	-0.8105933943907873	-0.06956121912761126	0.0	3
gsm8k_cot	2	fwd_signed	1.0261984644878055	-0.9993724461466054	1.6733620277794239	0.5232	3
gsm8k_cot	3	bwd	0.5692844647472493	-0.2444393323701286	0.8048679230006068	0.536	3
gsm8k_cot	3	fwd	-0.14530204497146249	-0.203753509866763	0.1897527638279498	0.536	3
gsm8k_cot	3	bwd_signed	-0.6858656351435527	-1.2689468285841337	-0.190870045463354	0.0	3
gsm8k_cot	3	fwd_signed	0.35271935970084206	0.11905545147124777	0.5197242891064262	0.0	3
gsm8k_cot	4	bwd	0.3444138806320811	-0.08001321024743913	0.481016836657983	0.5232	3
gsm8k_cot	4	fwd	-0.5802068660449582	-0.7336918639782797	0.06789409727900741	0.5232	3
gsm8k_cot	4	bwd_signed	-0.20455729780024134	-0.319387053048502	0.4510054358500042	0.5232	3
gsm8k_cot	4	fwd_signed	-0.25085642385562706	-0.42484326703831043	0.2645245104567168	0.536	3
