arch	n_anchors	alpha_mean	alpha_med	rho1_mean	rho1_med	dy_var_mean	tau_int_med	lambda_med	lambda_lt1	R_max_mean
dense	6	-0.07007355006779217	-0.10240606785019356	-0.303881203911185	-0.20234190089005186	0.09772405388610379	1.0	0.09817546104601672	4	0.7811666666666667
moe	6	-0.14819832527937807	-0.36126946121226516	-0.27546515704196645	-0.22123721686909092	0.05037610638483295	1.0	0.21974568265109343	4	1.0
