step	G	n_seeds	seed_std	seed_mad	seed_iqr	predicted_mc_std	sigma_A_emp_per_seed	sigma_A_empirical_div_predicted_MC
0	2	3	0.0390	0.0312	0.0938	0.7071	1.0000	1.4142
0	4	3	0.0266	0.0208	0.0625	0.5000	1.0000	2.0000
0	8	3	0.0557	0.0443	0.1328	0.3536	1.0000	2.8284
0	16	3	0.0144	0.0117	0.0352	0.2500	1.0000	4.0000
1	2	3	0.0780	0.0625	0.1875	0.7071	1.0000	1.4142
1	4	3	0.0195	0.0156	0.0469	0.5000	1.0000	2.0000
1	8	3	0.0585	0.0469	0.1406	0.3536	1.0000	2.8284
1	16	3	0.0226	0.0182	0.0547	0.2500	1.0000	4.0000
2	2	3	0.1284	0.1042	0.3125	0.7071	1.0000	1.4142
2	4	3	0.0710	0.0573	0.1719	0.5000	1.0000	2.0000
2	8	3	0.0295	0.0208	0.0625	0.3536	1.0000	2.8284
2	16	3	0.0482	0.0391	0.1172	0.2500	1.0000	4.0000
3	2	3	0.0255	0.0208	0.0625	0.7071	1.0000	1.4142
3	4	3	0.0748	0.0573	0.1719	0.5000	1.0000	2.0000
3	8	3	0.0574	0.0469	0.1406	0.3536	1.0000	2.8284
3	16	3	0.0066	0.0052	0.0156	0.2500	1.0000	4.0000
4	2	3	0.0642	0.0521	0.1562	0.7071	1.0000	1.4142
4	4	3	0.0460	0.0365	0.1094	0.5000	1.0000	2.0000
4	8	3	0.0110	0.0078	0.0234	0.3536	1.0000	2.8284
4	16	3	0.0447	0.0352	0.1055	0.2500	1.0000	4.0000
5	2	3	0.1031	0.0833	0.2500	0.7071	1.0000	1.4142
5	4	3	0.0195	0.0156	0.0469	0.5000	1.0000	2.0000
5	8	3	0.0338	0.0260	0.0781	0.3536	1.0000	2.8284
5	16	3	0.0271	0.0208	0.0625	0.2500	1.0000	4.0000
6	2	3	0.1112	0.0833	0.2500	0.7071	1.0000	1.4142
6	4	3	0.0390	0.0312	0.0938	0.5000	1.0000	2.0000
6	8	3	0.0535	0.0391	0.1172	0.3536	1.0000	2.8284
6	16	3	0.0064	0.0052	0.0156	0.2500	1.0000	4.0000
7	2	3	0.1552	0.1146	0.3438	0.7071	1.0000	1.4142
7	4	3	0.0448	0.0365	0.1094	0.5000	1.0000	2.0000
7	8	3	0.0195	0.0156	0.0469	0.3536	1.0000	2.8284
7	16	3	0.0327	0.0260	0.0781	0.2500	1.0000	4.0000
8	2	3	0.0390	0.0312	0.0938	0.7071	1.0000	1.4142
8	4	3	0.0321	0.0260	0.0781	0.5000	1.0000	2.0000
8	8	3	0.0242	0.0182	0.0547	0.3536	1.0000	2.8284
8	16	3	0.0226	0.0182	0.0547	0.2500	1.0000	4.0000
9	2	3	0.1169	0.0938	0.2812	0.7071	1.0000	1.4142
9	4	3	0.0266	0.0208	0.0625	0.5000	1.0000	2.0000
9	8	3	0.0415	0.0339	0.1016	0.3536	1.0000	2.8284
9	16	3	0.0279	0.0221	0.0664	0.2500	1.0000	4.0000
10	2	3	0.0442	0.0312	0.0938	0.7071	1.0000	1.4142
10	4	3	0.0516	0.0417	0.1250	0.5000	1.0000	2.0000
10	8	3	0.0133	0.0104	0.0312	0.3536	1.0000	2.8284
10	16	3	0.0018	0.0013	0.0039	0.2500	1.0000	4.0000
11	2	3	0.0295	0.0208	0.0625	0.7071	1.0000	1.4142
11	4	3	0.0195	0.0156	0.0469	0.5000	1.0000	2.0000
11	8	3	0.0278	0.0208	0.0625	0.3536	1.0000	2.8284
11	16	3	0.0487	0.0391	0.1172	0.2500	1.0000	4.0000
12	2	3	0.0390	0.0312	0.0938	0.7071	1.0000	1.4142
12	4	3	0.0368	0.0260	0.0781	0.5000	1.0000	2.0000
12	8	3	0.0255	0.0208	0.0625	0.3536	1.0000	2.8284
12	16	3	0.0066	0.0052	0.0156	0.2500	1.0000	4.0000
13	2	3	0.0147	0.0104	0.0312	0.7071	1.0000	1.4142
13	4	3	0.0390	0.0312	0.0938	0.5000	1.0000	2.0000
13	8	3	0.0242	0.0182	0.0547	0.3536	1.0000	2.8284
13	16	3	0.0133	0.0104	0.0312	0.2500	1.0000	4.0000
14	2	3	0.0255	0.0208	0.0625	0.7071	1.0000	1.4142
14	4	3	0.0195	0.0156	0.0469	0.5000	1.0000	2.0000
14	8	3	0.0363	0.0286	0.0859	0.3536	1.0000	2.8284
14	16	3	0.0103	0.0078	0.0234	0.2500	1.0000	4.0000
15	2	3	0.0442	0.0312	0.0938	0.7071	1.0000	1.4142
15	4	3	0.0483	0.0365	0.1094	0.5000	1.0000	2.0000
15	8	3	0.0331	0.0234	0.0703	0.3536	1.0000	2.8284
15	16	3	0.0097	0.0078	0.0234	0.2500	1.0000	4.0000
16	2	3	0.0820	0.0625	0.1875	0.7071	0.8165	1.1547
16	4	3	0.0603	0.0469	0.1406	0.5000	0.8165	1.6330
16	8	3	0.0363	0.0286	0.0859	0.3536	1.0000	2.8284
16	16	3	0.0381	0.0286	0.0859	0.2500	1.0000	4.0000
17	2	3	0.0255	0.0208	0.0625	0.7071	1.0000	1.4142
17	4	3	0.0556	0.0417	0.1250	0.5000	1.0000	2.0000
17	8	3	0.0520	0.0391	0.1172	0.3536	1.0000	2.8284
17	16	3	0.0513	0.0404	0.1211	0.2500	1.0000	4.0000
18	2	3	0.0531	0.0417	0.1250	0.7071	0.8165	1.1547
18	4	3	0.0147	0.0104	0.0312	0.5000	0.8165	1.6330
18	8	3	0.0205	0.0156	0.0469	0.3536	1.0000	2.8284
18	16	3	0.0144	0.0117	0.0352	0.2500	1.0000	4.0000
19	2	3	0.0390	0.0312	0.0938	0.7071	0.8165	1.1547
19	4	3	0.0442	0.0312	0.0938	0.5000	1.0000	2.0000
19	8	3	0.0221	0.0156	0.0469	0.3536	1.0000	2.8284
19	16	3	0.0096	0.0078	0.0234	0.2500	1.0000	4.0000
20	2	3	0.0255	0.0208	0.0625	0.7071	0.8165	1.1547
20	4	3	0.0074	0.0052	0.0156	0.5000	1.0000	2.0000
20	8	3	0.0205	0.0156	0.0469	0.3536	0.8165	2.3094
20	16	3	0.0055	0.0039	0.0117	0.2500	1.0000	4.0000
21	2	3	0.0147	0.0104	0.0312	0.7071	0.8165	1.1547
21	4	3	0.0147	0.0104	0.0312	0.5000	1.0000	2.0000
21	8	3	0.0064	0.0052	0.0156	0.3536	0.8165	2.3094
