model	params_B	arch	n_steps	mean_reward	var_reward	peak	trough	cp1	cp2	cp1_frac	cp2_frac	slope_p1	slope_p2	slope_p3	rmse_p1	rmse_p2	rmse_p3	inter_p1	inter_p2	inter_p3	sse_3piece	phase_class	pci	seg_mean_p1	seg_mean_p2	seg_mean_p3	seg_std_p1	seg_std_p2	seg_std_p3	n_slow	n_fast	n_plateau	n_template_ok
Qwen3.5-4B	4.0	dense	30	0.8166666666666667	0.04633680555555554	1.0	0.25	5	7	0.16666666666666666	0.23333333333333334	0.018749999999999885	-9.633647560509938e-17	0.003705533596837954	0.07015607600201139	7.850462293418876e-17	0.2127247403910241	0.9062500000000003	0.5000000000000007	0.7420948616600788	1.0828125	valley	1.0	0.9625	0.5	0.8125	0.075	0.0	0.21414009027006028	1	0	1	2
Qwen3-8B	8.0	dense	30	0.28541666666666665	0.028823784722222228	0.625	0.0	15	18	0.5	0.6	0.0024553571428571463	-0.03125000000000037	0.0030594405594405526	0.17919175488800054	0.07365695637359868	0.12841347435635558	0.2595238095238096	0.6145833333333395	0.2687937062937064	0.7007812499999999	valley	1.5	0.2791666666666667	0.08333333333333333	0.34375	0.17950549357115012	0.07795119555779044	0.1288470508005519	1	0	1	3
Llama-3.1-8B-Instruct	8.0	dense	30	0.86875	0.02665364583333333	1.0	0.375	15	24	0.5	0.8	-0.0024553571428571164	-0.005208333333333153	-0.005357142857142845	0.10861484714274226	0.17653783081786337	0.07528055989704578	0.948809523809524	0.8194444444444405	1.095238095238095	0.4952690972222223	valley	1.0	0.9291666666666667	0.7152777777777778	0.9479166666666666	0.10913167378090664	0.17704928866641614	0.07583447801333873	1	0	1	2
Qwen3-32B	32.0	dense	3	0.24966666666666668	0.007770888888888889	0.312	0.125	1	2	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	anomalous	2.5	0.312	0.312	0.125	0.0	0.0	0.0	1	0	1	5
Qwen3.5-27B	27.0	dense	3	0.43733333333333335	0.10152088888888888	0.75	0.0	1	2	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	three-phase	2.5	0.562	0.75	0.0	0.0	0.0	0.0	1	0	1	5
gpt-oss-20B	20.0	moe	30	0.8395833333333333	0.037157118055555556	1.0	0.5	21	24	0.7	0.8	0.0026785714285713935	-3.4257320644900587e-16	0.005357142857142845	0.18743621363992996	0.20623947784607638	0.06927558836168153	0.8008928571428576	0.6458333333333417	0.8214285714285717	0.9002046130952381	valley	1.5	0.8303571428571429	0.6458333333333334	0.96875	0.18813667415808463	0.20623947784607635	0.06987712429686843	1	0	1	3
Qwen3-30B-MoE	30.0	moe	5	0.3252	0.028820160000000004	0.5	0.062	1	3	0.2	0.6	0.0	-0.3759999999999996	-0.062000000000000215	0.0	2.7755575615628914e-16	3.7030556577017743e-16	0.0	1.1899999999999988	0.7480000000000013	0.0	monotonic-rising	2.0	0.188	0.25	0.469	0.0	0.188	0.031	1	1	0	4
Qwen3-30B-MoE-Inst	30.0	moe	3	1.0	0.0	1.0	1.0	1	2	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	constant	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1	0	1	4
DeepSeek-V3.1	685.0	moe	20	0.84375	0.0185546875	1.0	0.5	11	15	0.55	0.75	-0.003409090909090919	-0.012499999999999841	0.08750000000000001	0.10964584234617222	0.05229125165837968	0.1103970108290981	0.8500000000000001	1.137499999999997	-0.8000000000000006	0.28274147727272725	three-phase	1.0	0.8295454545454546	0.96875	0.775	0.11017454221400748	0.05412658773652741	0.16583123951777	1	0	0	2
Nemotron-120B	120.0	dense	20	0.175	0.06	0.875	0.0	9	18	0.45	0.9	0.024999999999999994	-0.010416666666666703	2.012277660041789e-16	0.28746980517767234	0.10039466871389557	2.1138016631127878e-16	0.08333333333333336	0.21527777777777837	0.4999999999999959	0.8784722222222222	valley	2.0	0.20833333333333334	0.06944444444444445	0.5	0.2946278254943948	0.10393492741038726	0.0	0	0	1	4
Qwen3-235B-MoE	235.0	moe	4	1.0	0.0	1.0	1.0	1	2	0.25	0.5	0.0	0.0	-8.881784197001253e-17	0.0	0.0	7.850462293418876e-17	0.0	0.0	1.0000000000000002	0.0	constant	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1	0	1	4
Kimi-K2-Thinking	1000.0	moe	20	0.85	0.0290625	1.0	0.375	13	16	0.65	0.8	0.00137362637362637	-0.06250000000000012	-0.02499999999999989	0.10432328322004135	0.20623947784607635	0.055901699437494755	0.9134615384615387	1.5208333333333348	1.2749999999999972	0.29286858974358976	valley	1.0	0.9230769230769231	0.5833333333333334	0.8125	0.1044498124153867	0.21245914639969937	0.0625	1	1	0	2
