G	mean_delta_R	sigma_A2	pred_mc_noise	snr_pred_implicit_dpo
2	0.019792	0.416665	0.456435	0.043361
4	0.022396	0.549998	0.370809	0.060397
8	0.025260	0.583330	0.270030	0.093547
16	0.017578	0.649996	0.201556	0.087212
