# Pillar 2 iter86 cost-vs-tau sweep (K=1, 45 variance-mitigation traces).
# total_cost = C_ratio * n_false_stop + n_missed_collapse.
# Source: scripts/zvf_iter86.py
tau	C_ratio	n_false	n_missed	n_correct	n_none	total_cost	compute_saved_steps	compute_saved_frac
0.1	0.1	20	0	25	0	2	3169	0.572022
0.1	0.3	20	0	25	0	6	3169	0.572022
0.1	1	20	0	25	0	20	3169	0.572022
0.1	3	20	0	25	0	60	3169	0.572022
0.1	10	20	0	25	0	200	3169	0.572022
0.1	30	20	0	25	0	600	3169	0.572022
0.1	100	20	0	25	0	2000	3169	0.572022
0.2	0.1	20	0	25	0	2	2682	0.484116
0.2	0.3	20	0	25	0	6	2682	0.484116
0.2	1	20	0	25	0	20	2682	0.484116
0.2	3	20	0	25	0	60	2682	0.484116
0.2	10	20	0	25	0	200	2682	0.484116
0.2	30	20	0	25	0	600	2682	0.484116
0.2	100	20	0	25	0	2000	2682	0.484116
0.3	0.1	17	0	25	3	1.7	2174	0.392419
0.3	0.3	17	0	25	3	5.1	2174	0.392419
0.3	1	17	0	25	3	17	2174	0.392419
0.3	3	17	0	25	3	51	2174	0.392419
0.3	10	17	0	25	3	170	2174	0.392419
0.3	30	17	0	25	3	510	2174	0.392419
0.3	100	17	0	25	3	1700	2174	0.392419
0.4	0.1	15	0	25	5	1.5	1692	0.305415
0.4	0.3	15	0	25	5	4.5	1692	0.305415
0.4	1	15	0	25	5	15	1692	0.305415
0.4	3	15	0	25	5	45	1692	0.305415
0.4	10	15	0	25	5	150	1692	0.305415
0.4	30	15	0	25	5	450	1692	0.305415
0.4	100	15	0	25	5	1500	1692	0.305415
0.5	0.1	10	0	25	10	1	1338	0.241516
0.5	0.3	10	0	25	10	3	1338	0.241516
0.5	1	10	0	25	10	10	1338	0.241516
0.5	3	10	0	25	10	30	1338	0.241516
0.5	10	10	0	25	10	100	1338	0.241516
0.5	30	10	0	25	10	300	1338	0.241516
0.5	100	10	0	25	10	1000	1338	0.241516
0.6	0.1	0	2	23	20	2	833	0.150361
0.6	0.3	0	2	23	20	2	833	0.150361
0.6	1	0	2	23	20	2	833	0.150361
0.6	3	0	2	23	20	2	833	0.150361
0.6	10	0	2	23	20	2	833	0.150361
0.6	30	0	2	23	20	2	833	0.150361
0.6	100	0	2	23	20	2	833	0.150361
0.7	0.1	0	23	2	20	23	45	0.00812274
0.7	0.3	0	23	2	20	23	45	0.00812274
0.7	1	0	23	2	20	23	45	0.00812274
0.7	3	0	23	2	20	23	45	0.00812274
0.7	10	0	23	2	20	23	45	0.00812274
0.7	30	0	23	2	20	23	45	0.00812274
0.7	100	0	23	2	20	23	45	0.00812274
