metric	n_models	intercept	slope_per_log10N	se_slope	boot_slope_mean	boot_slope_lo	boot_slope_hi	n_boot	corr_logN_metric
mean_reward	5	0.633458	-0.024267	0.204571	-0.116996	-0.795879	0.313122	983	-0.068327
peak	5	0.846065	0.036825	0.096430	-0.009985	-0.622862	0.196896	989	0.215309
var_reward	5	0.039625	-0.002425	0.010069	-0.003573	-0.061782	0.027431	991	-0.137720
R_max	5	0.633122	-0.023075	0.203287	-0.099234	-0.795879	0.312744	992	-0.065395
t_80	5	0.090929	0.247767	0.370094	0.333732	-0.078780	1.245100	989	0.360525
