G	slope	intercept	R2	target_acc	log10T_at_target	T_at_target_M
4	0.12789423165316413	-0.32536538991898545	0.875129151291513	0.5	6.453499733727559	2.841186443008814
4	0.12789423165316413	-0.32536538991898545	0.875129151291513	0.7	8.017291918994985	104.06194022022659
4	0.12789423165316413	-0.32536538991898545	0.875129151291513	0.8	8.799188011628699	629.7787631222683
4	0.12789423165316413	-0.32536538991898545	0.875129151291513	0.9	9.581084104262413	3811.396266881469
8	0.1777231530764737	-0.5443389184588422	0.8878635129895305	0.5	5.876211964399857	0.7519898251842662
8	0.1777231530764737	-0.5443389184588422	0.8878635129895305	0.7	7.001557742582967	10.035932752402857
8	0.1777231530764737	-0.5443389184588422	0.8878635129895305	0.8	7.564230631674521	36.66322226550776
8	0.1777231530764737	-0.5443389184588422	0.8878635129895305	0.9	8.126903520766074	133.9379109099937
16	0.2109424340253461	-0.7486546041520754	0.8993030387510452	0.5	5.919409292499401	0.8306332130860933
16	0.2109424340253461	-0.7486546041520754	0.8993030387510452	0.7	6.867535263094623	7.371150239030939
16	0.2109424340253461	-0.7486546041520754	0.8993030387510452	0.8	7.341598248392235	21.958276446863394
16	0.2109424340253461	-0.7486546041520754	0.8993030387510452	0.9	7.8156612336898466	65.41257319159776
32	0.2591103914012145	-1.0886623484072873	0.9218181818181819	0.5	6.131218203238147	1.3527520577574002
32	0.2591103914012145	-1.0886623484072873	0.9218181818181819	0.7	6.903089986991944	8.000000000000004
32	0.2591103914012145	-1.0886623484072873	0.9218181818181819	0.8	7.289025878868842	19.454760057720108
32	0.2591103914012145	-1.0886623484072873	0.9218181818181819	0.9	7.674961770745741	47.3109611129327
64	0.2956516004449751	-1.3909096026698506	0.9554885404101328	0.5	6.395736061715571	2.4873451987763544
64	0.2956516004449751	-1.3909096026698506	0.9554885404101328	0.7	7.072207962084068	11.808859679979703
64	0.2956516004449751	-1.3909096026698506	0.9554885404101328	0.8	7.410443912268316	25.730244451588227
64	0.2956516004449751	-1.3909096026698506	0.9554885404101328	0.9	7.748679862452565	56.06345553084141
