method	cat	n_obs	mean_ha	median_ha
grpo	recovered	0	NA	NA
grpo	sustained	5	0.382800	0.383600
grpo	never_alarmed	0	NA	NA
aero	recovered	16	0.388562	0.389300
aero	sustained	5	0.405200	0.405000
aero	never_alarmed	0	NA	NA
cppo	recovered	32	0.367134	0.367300
cppo	sustained	5	0.396160	0.395800
cppo	never_alarmed	0	NA	NA
ngrpo	recovered	32	0.360116	0.361800
ngrpo	sustained	5	0.393080	0.394100
ngrpo	never_alarmed	0	NA	NA
scafgrpo	recovered	0	NA	NA
scafgrpo	sustained	0	NA	NA
scafgrpo	never_alarmed	475	0.297543	0.328200
mcgrpo	recovered	37	0.395392	0.395900
mcgrpo	sustained	5	0.402720	0.402000
mcgrpo	never_alarmed	0	NA	NA
gift	recovered	29	0.405003	0.403500
gift	sustained	4	0.408975	0.408300
gift	never_alarmed	0	NA	NA
areal	recovered	34	0.406006	0.406900
areal	sustained	4	0.406025	0.408000
areal	never_alarmed	0	NA	NA
es	recovered	0	NA	NA
es	sustained	0	NA	NA
es	never_alarmed	475	0.284104	0.313600
