# Pillar 2 iter82 survival S(t) by ZVF quartile (pooled across all methods)
# Source: scripts/zvf_iter82.py
group	t	S
all:high	0	1.0000
all:high	5	1.0000
all:high	10	1.0000
all:high	15	1.0000
all:high	20	0.8235
all:high	25	0.8235
all:high	30	0.8235
all:high	35	0.8235
all:high	40	0.8235
all:high	45	0.8235
all:high	50	0.8235
all:high	55	0.8235
all:high	60	0.8235
all:high	65	0.8235
all:high	70	0.8235
all:high	75	0.7647
all:high	80	0.6471
all:high	85	0.6471
all:high	90	0.6471
all:high	95	0.6471
all:high	100	0.6471
all:high	105	0.6471
all:high	110	0.6471
all:high	115	0.6471
all:high	120	0.6471
all:high	125	0.6471
all:high	130	0.6471
all:high	135	0.6471
all:high	140	0.6471
all:high	145	0.6471
all:high	150	0.6471
all:high	155	0.3529
all:high	160	0.3529
all:high	165	0.3529
all:high	170	0.3529
all:high	175	0.3529
all:high	180	0.3529
all:high	185	0.3529
all:high	190	0.3529
all:high	195	0.3529
all:high	200	0.3529
all:high	205	0.3529
all:high	210	0.3529
all:high	215	0.3529
all:high	220	0.3529
all:high	225	0.3529
all:high	230	0.3529
all:high	235	0.3529
all:high	240	0.3529
all:high	245	0.3529
all:high	250	0.3529
all:high	255	0.3529
all:high	260	0.3529
all:high	265	0.3529
all:high	270	0.3529
all:high	275	0.3529
all:high	280	0.3529
all:high	285	0.3529
all:high	290	0.3529
all:high	295	0.3529
all:high	300	0.3529
all:low	0	1.0000
all:low	5	1.0000
all:low	10	1.0000
all:low	15	1.0000
all:low	20	1.0000
all:low	25	1.0000
all:low	30	1.0000
all:low	35	1.0000
all:low	40	1.0000
all:low	45	1.0000
all:low	50	1.0000
all:low	55	1.0000
all:low	60	1.0000
all:low	65	1.0000
all:low	70	1.0000
all:low	75	1.0000
all:low	80	1.0000
all:low	85	1.0000
all:low	90	1.0000
all:low	95	1.0000
all:low	100	1.0000
all:low	105	1.0000
all:low	110	0.9444
all:mid	0	1.0000
all:mid	5	1.0000
all:mid	10	1.0000
all:mid	15	1.0000
all:mid	20	1.0000
all:mid	25	1.0000
all:mid	30	1.0000
all:mid	35	1.0000
all:mid	40	1.0000
all:mid	45	1.0000
all:mid	50	1.0000
all:mid	55	1.0000
all:mid	60	1.0000
all:mid	65	1.0000
all:mid	70	1.0000
all:mid	75	1.0000
all:mid	80	0.6111
all:mid	85	0.6111
all:mid	90	0.3333
all:mid	95	0.3333
all:mid	100	0.1111
by_method:aero	0	1.0000
by_method:aero	5	1.0000
by_method:aero	10	1.0000
by_method:aero	15	1.0000
by_method:aero	20	1.0000
by_method:aero	25	1.0000
by_method:aero	30	1.0000
by_method:aero	35	1.0000
by_method:aero	40	1.0000
by_method:aero	45	1.0000
by_method:aero	50	1.0000
by_method:aero	55	1.0000
by_method:aero	60	1.0000
by_method:aero	65	1.0000
by_method:aero	70	1.0000
by_method:aero	75	1.0000
by_method:aero	80	1.0000
by_method:aero	85	1.0000
by_method:aero	90	0.0000
by_method:aero	95	0.0000
by_method:aero	100	0.0000
by_method:areal	0	1.0000
by_method:areal	5	1.0000
by_method:areal	10	1.0000
by_method:areal	15	1.0000
by_method:areal	20	1.0000
by_method:areal	25	1.0000
by_method:areal	30	1.0000
by_method:areal	35	1.0000
by_method:areal	40	1.0000
by_method:areal	45	1.0000
by_method:areal	50	1.0000
by_method:areal	55	1.0000
by_method:areal	60	1.0000
by_method:areal	65	1.0000
by_method:areal	70	1.0000
by_method:areal	75	1.0000
by_method:areal	80	1.0000
by_method:areal	85	1.0000
by_method:areal	90	1.0000
by_method:areal	95	1.0000
by_method:areal	100	1.0000
by_method:areal	105	1.0000
by_method:areal	110	1.0000
by_method:cppo	0	1.0000
by_method:cppo	5	1.0000
by_method:cppo	10	1.0000
by_method:cppo	15	1.0000
by_method:cppo	20	1.0000
by_method:cppo	25	1.0000
by_method:cppo	30	1.0000
by_method:cppo	35	1.0000
by_method:cppo	40	1.0000
by_method:cppo	45	1.0000
by_method:cppo	50	1.0000
by_method:cppo	55	1.0000
by_method:cppo	60	1.0000
by_method:cppo	65	1.0000
by_method:cppo	70	1.0000
by_method:cppo	75	1.0000
by_method:cppo	80	0.0000
by_method:cppo	85	0.0000
by_method:cppo	90	0.0000
by_method:cppo	95	0.0000
by_method:cppo	100	0.0000
by_method:es	0	1.0000
by_method:es	5	1.0000
by_method:es	10	1.0000
by_method:es	15	1.0000
by_method:es	20	1.0000
by_method:es	25	1.0000
by_method:es	30	1.0000
by_method:es	35	1.0000
