model	params_B	arch	family	n_steps	r_first	r_final	r_mean	r_peak	r_var	early_mean	late_mean	zero_frac	frac_above_0p5	delta_first_final	delta_late_early
Qwen3.5-4B	4.0	dense	qwen	30	1.0000	1.0000	0.8167	1.0000	0.0463	0.8125	0.8500	0.0000	0.8333	+0.0000	+0.0375
Qwen3-8B	8.0	dense	qwen	30	0.3750	0.1875	0.2854	0.6250	0.0288	0.2437	0.3438	0.0667	0.1000	+0.1875	+0.1000
Llama-3.1-8B-Instruct	8.0	dense	llama	30	1.0000	1.0000	0.8688	1.0000	0.0267	0.9250	0.8438	0.0000	0.9333	+0.0000	-0.0813
Qwen3-32B	32.0	dense	qwen	3	0.3120	0.1250	0.2497	0.3120	0.0078	0.3120	0.2185	0.0000	0.0000	+0.1870	-0.0935
Qwen3.5-27B	27.0	dense	qwen	3	0.5620	0.0000	0.4373	0.7500	0.1015	0.6560	0.3750	0.3333	0.6667	+0.5620	-0.2810
gpt-oss-20B	20.0	moe	gpt-oss	30	0.6250	1.0000	0.8396	1.0000	0.0372	0.8063	0.8750	0.0000	0.8667	-0.3750	+0.0687
Qwen3-30B-MoE	30.0	moe	qwen	5	0.1880	0.4380	0.3252	0.5000	0.0288	0.3130	0.4690	0.0000	0.0000	-0.2500	+0.1560
Qwen3-30B-MoE-Inst	30.0	moe	qwen	3	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	+0.0000	+0.0000
DeepSeek-V3.1	685.0	moe	deepseek	20	0.8750	1.0000	0.8438	1.0000	0.0186	0.8333	0.8125	0.0000	0.9500	-0.1250	-0.0208
Nemotron-120B	120.0	dense	nemotron	20	0.0000	0.5000	0.1750	0.8750	0.0600	0.1458	0.2083	0.5500	0.0500	-0.5000	+0.0625
Qwen3-235B-MoE	235.0	moe	qwen	4	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	+0.0000	+0.0000
Kimi-K2-Thinking	1000.0	moe	kimi	20	1.0000	0.7500	0.8500	1.0000	0.0291	0.9375	0.7500	0.0000	0.9000	+0.2500	-0.1875
