family	n_anchors	params	rss	mae	rmse	r2	aic
loglinear	12	a=0.4869,b=0.1041	1.2266	0.2739	0.3197	0.0535	-23.3676
inverse	12	a=0.6512,b=0.1401	1.2948	0.2883	0.3285	0.0009	-22.7185
chinchilla	12	a=1.545,b=1.067,c=0.05	1.2324	0.2741	0.3205	0.0491	-21.3112
