experiment	model	task	group_size	n_seeds	mean_zvf	mean_reward	last10_avg	p_proxy	zvf_iid_at_p	delta_zvf	failure_label	seed	risk_mag_v130	risk_mag	risk_gsize	risk_delta	zvf_risk_partial	zvf_risk_partial_max	predicted_safe	predicted_collapse
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k	8	1	0.13	0.6942	0.7125	0.7125	0.06646363025741697	0.06353636974258303	converged	42	0.7349725994665188	0.7349725994665188	0.08494656894307347	0.6537046674607574	0.2533609450598591	0.7349725994665188	False	True
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k	8	1	0.19	0.6942	0.6969	0.6969	0.055708235535164116	0.13429176446483587	converged	123	0.6592603884513855	0.6592603884513855	0.08494656894307347	0.7929693375874024	0.24835935931874029	0.7929693375874024	False	True
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k	8	1	0.155	0.6942	0.6731	0.6731	0.042264803866938844	0.11273519613306116	converged	456	0.7047456979980911	0.7047456979980911	0.08494656894307347	0.755349881929142	0.25596874113959067	0.755349881929142	False	True
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k	8	3	0.1583	0.6942	0.6942	0.6942	0.05401224048381473	0.10428775951618527	converged	agg	0.7006090953552312	0.7006090953552312	0.08494656894307347	0.7394048582715955	0.25334008811312103	0.7394048582715955	False	True
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.825	0.9195	0.9789	0.9789	0.8431534629489228	-0.01815346294892284	converged	42	0.041091278200465035	0.041091278200465035	0.08494656894307347	0.45474056745778263	0.059994204743048195	0.45474056745778263	False	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.8109	0.9143	0.9859	0.9859	0.8926124354130005	-0.08171243541300055	converged	123	0.044557248571229835	0.044557248571229835	0.08494656894307347	0.3063744204166839	0.04602408263162952	0.3063744204166839	False	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.8094	0.9227	0.9898	0.9898	0.9212544439031005	-0.11185444390310051	converged	456	0.04494197004335447	0.04494197004335447	0.08494656894307347	0.2462813749690268	0.04011095845489497	0.2462813749690268	True	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.8125	0.9229	0.9945	0.9945	0.95683774677331	-0.14433774677331002	converged	789	0.04415034055836464	0.04415034055836464	0.08494656894307347	0.1910228731461163	0.03438720090135647	0.1910228731461163	True	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.8172	0.9215	0.9914	0.9914	0.9332356411466204	-0.11603564114662035	converged	1024	0.042975450896116894	0.042975450896116894	0.08494656894307347	0.238602529368177	0.0388514441080006	0.238602529368177	True	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.7703	0.8998	0.9711	0.9711	0.7908818936611961	-0.020581893661196116	converged	42	0.056157450491687286	0.056157450491687286	0.08494656894307347	0.44872614103564873	0.06315930517364038	0.44872614103564873	False	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.7641	0.9031	0.9875	0.9875	0.9042673170009627	-0.14016731700096274	converged	123	0.05816205832535495	0.05816205832535495	0.08494656894307347	0.1975507388655634	0.03854291691504875	0.1975507388655634	True	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.7469	0.9021	0.9914	0.9914	0.9332356411466204	-0.18633564114662038	converged	456	0.0640798620592601	0.0640798620592601	0.08494656894307347	0.1343123143204013	0.03369852539400883	0.1343123143204013	True	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.7719	0.9059	0.9922	0.9922	0.9392772025828657	-0.1673772025828657	converged	789	0.055650776866782596	0.055650776866782596	0.08494656894307347	0.15792191761161098	0.033952214425010424	0.15792191761161098	True	False
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1	0.8125	0.923	0.9984	0.9984	0.9872714510821649	-0.17477145108216485	converged	1024	0.04415034055836464	0.04415034055836464	0.08494656894307347	0.14833569694935297	0.030118483281680132	0.14833569694935297	True	False
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9586	0.9586	0.7130161999198537		converged	42			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.993	0.993	0.9453529591320955		converged	123			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9688	0.9688	0.7760202265903346		converged	456			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9828	0.9828	0.8704046098243076		converged	789			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9914	0.9914	0.9332356411466204		converged	1024			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9781	0.9781	0.837656709064876		converged	42			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9758	0.9758	0.8220278096534357		converged	123			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.7203	0.7203	0.07249895728845783		drift	456			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9656	0.9656	0.7557498274884754		converged	789			0.08494656894307347					
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	arithmetic	8	1			0.9508	0.9508	0.6679029850742925		converged	1024			0.08494656894307347					
