task	n_pairs	mean_eff_gr	mean_eff_dr	mean_delta_dr_minus_gr	wilcoxon_W	wilcoxon_p_one_sided	cohens_d
arithmetic_easy	5	0.276334	0.312347	0.036013	15.0000	0.031250	3.6189
gsm8k_cot	3	0.006311	0.007571	0.001260	5.0000	0.250000	0.4404
