task	algo	seed	bin	len_min	len_max	n_steps	mean_len	mean_zvf	mean_rew
arithmetic_qwen2.5-0.5b	grpo	42	L1	4.28125	4.4375	12	4.361979166666667	0.9114583333333334	0.9654947916666666
arithmetic_qwen2.5-0.5b	grpo	42	L2	4.4453125	4.671875	13	4.542668269230769	0.9663461538461539	0.9861778846153846
arithmetic_qwen2.5-0.5b	grpo	42	L3	4.6875	7.953125	15	5.224479166666667	0.6333333333333333	0.825
arithmetic_qwen2.5-0.5b	grpo	123	L1	4.140625	4.46875	13	4.393028846153846	0.8942307692307693	0.9693509615384616
arithmetic_qwen2.5-0.5b	grpo	123	L2	4.4921875	4.625	13	4.558293269230769	0.8990384615384616	0.9657451923076923
arithmetic_qwen2.5-0.5b	grpo	123	L3	4.65625	7.875	14	5.260044642857143	0.6517857142857143	0.8152901785714286
arithmetic_qwen2.5-0.5b	grpo	456	L1	4.1875	4.4296875	13	4.3389423076923075	0.8846153846153846	0.9645432692307693
arithmetic_qwen2.5-0.5b	grpo	456	L2	4.4375	4.5625	13	4.496394230769231	0.9471153846153846	0.9807692307692307
arithmetic_qwen2.5-0.5b	grpo	456	L3	4.609375	7.34375	14	5.179129464285714	0.6116071428571429	0.8297991071428571
arithmetic_qwen2.5-0.5b	grpo	789	L1	4.3125	4.484375	12	4.413411458333333	0.9322916666666666	0.978515625
arithmetic_qwen2.5-0.5b	grpo	789	L2	4.5	4.6171875	13	4.540865384615385	0.9471153846153846	0.9867788461538461
arithmetic_qwen2.5-0.5b	grpo	789	L3	4.625	7.453125	15	5.1921875	0.6	0.8229166666666666
arithmetic_qwen2.5-0.5b	grpo	1024	L1	4.25	4.46875	9	4.370659722222222	0.9722222222222222	0.9956597222222222
arithmetic_qwen2.5-0.5b	grpo	1024	L2	4.5	4.6171875	15	4.541145833333333	0.9541666666666667	0.9828125
arithmetic_qwen2.5-0.5b	grpo	1024	L3	4.625	7.375	16	5.24853515625	0.6015625	0.822265625
arithmetic_qwen2.5-0.5b	dr_grpo	42	L1	4.2109375	4.421875	11	4.3203125	0.8295454545454546	0.9375
arithmetic_qwen2.5-0.5b	dr_grpo	42	L2	4.4375	4.5859375	13	4.505408653846154	0.8798076923076923	0.9663461538461539
arithmetic_qwen2.5-0.5b	dr_grpo	42	L3	4.625	7.7265625	16	5.16064453125	0.640625	0.81982421875
arithmetic_qwen2.5-0.5b	dr_grpo	123	L1	4.1328125	4.4296875	12	4.320963541666667	0.8177083333333334	0.953125
arithmetic_qwen2.5-0.5b	dr_grpo	123	L2	4.4375	4.5546875	14	4.500558035714286	0.8526785714285714	0.9542410714285714
arithmetic_qwen2.5-0.5b	dr_grpo	123	L3	4.5625	6.8046875	14	5.166294642857143	0.6294642857142857	0.8091517857142857
arithmetic_qwen2.5-0.5b	dr_grpo	456	L1	4.1875	4.4375	13	4.365384615384615	0.8701923076923077	0.9591346153846154
arithmetic_qwen2.5-0.5b	dr_grpo	456	L2	4.453125	4.6171875	13	4.532451923076923	0.8173076923076923	0.9465144230769231
arithmetic_qwen2.5-0.5b	dr_grpo	456	L3	4.625	7.34375	14	5.177455357142857	0.5669642857142857	0.8080357142857143
arithmetic_qwen2.5-0.5b	dr_grpo	789	L1	4.3125	4.4609375	11	4.3977272727272725	0.8352272727272727	0.9524147727272727
arithmetic_qwen2.5-0.5b	dr_grpo	789	L2	4.5	4.5859375	12	4.537760416666667	0.9114583333333334	0.9772135416666666
arithmetic_qwen2.5-0.5b	dr_grpo	789	L3	4.625	7.2890625	17	5.111213235294118	0.6323529411764706	0.8253676470588235
arithmetic_qwen2.5-0.5b	dr_grpo	1024	L1	4.25	4.4921875	11	4.364346590909091	0.9034090909090909	0.9772727272727273
arithmetic_qwen2.5-0.5b	dr_grpo	1024	L2	4.5	4.609375	14	4.545758928571429	0.9464285714285714	0.9877232142857143
arithmetic_qwen2.5-0.5b	dr_grpo	1024	L3	4.625	7.5	15	5.151041666666667	0.6208333333333333	0.8229166666666666
gsm8k_cot_qwen2.5-1.5b	grpo	42	L1	152.984375	182.8125	10	175.4546875	0.275	0.3296875
gsm8k_cot_qwen2.5-1.5b	grpo	42	L2	185.609375	191.640625	10	188.9109375	0.2625	0.2875
gsm8k_cot_qwen2.5-1.5b	grpo	42	L3	192.203125	198.28125	10	194.59375	0.375	0.2109375
gsm8k_cot_qwen2.5-1.5b	grpo	123	L1	176.375	187.421875	10	183.675	0.3	0.2765625
gsm8k_cot_qwen2.5-1.5b	grpo	123	L2	189.6875	191.3125	10	190.525	0.3	0.303125
gsm8k_cot_qwen2.5-1.5b	grpo	123	L3	192.015625	196.328125	10	194.7109375	0.4	0.240625
gsm8k_cot_qwen2.5-1.5b	grpo	456	L1	179.421875	190.734375	10	186.6703125	0.3375	0.36875
gsm8k_cot_qwen2.5-1.5b	grpo	456	L2	190.8125	195.125	10	193.2125	0.3	0.240625
gsm8k_cot_qwen2.5-1.5b	grpo	456	L3	195.203125	197.59375	10	196.103125	0.4625	0.1875
