section	metric_key	headline
A_joint_fit	n_points	"Joint fit on n=20 (G,T) cells; 3-parameter log-log model"
A_joint_fit	intercept_a	"log10(1-acc) = +1.669 + (-0.141)*log10(G) + (-0.293)*log10(T) + eps"
A_joint_fit	coefficient_b_logG	"b = -0.1407  95%CI [-0.2536,-0.0279]  p=2.570e-02  (negative => larger G -> lower error)"
A_joint_fit	coefficient_c_logT	"c = -0.2933  95%CI [-0.3647,-0.2219]  p=3.323e-07  (negative => larger T -> lower error)"
A_joint_fit	R_squared	"R^2=0.796  adj_R^2=0.772  RSS=0.204  TSS=1.003"
A_joint_fit	row_G4_T1e+06	"G=4, T=1e+06: acc_emp=0.410+/-0.030, acc_pred=0.332, y_resid=-0.054"
A_joint_fit	row_G8_T1e+06	"G=8, T=1e+06: acc_emp=0.480+/-0.030, acc_pred=0.394, y_resid=-0.066"
A_joint_fit	row_G16_T1e+06	"G=16, T=1e+06: acc_emp=0.470+/-0.030, acc_pred=0.450, y_resid=-0.016"
A_joint_fit	row_G32_T1e+06	"G=32, T=1e+06: acc_emp=0.420+/-0.030, acc_pred=0.502, y_resid=+0.066"
A_joint_fit	row_G64_T1e+06	"G=64, T=1e+06: acc_emp=0.350+/-0.030, acc_pred=0.548, y_resid=+0.158"
A_joint_fit	row_G4_T4e+06	"G=4, T=4e+06: acc_emp=0.550+/-0.030, acc_pred=0.555, y_resid=+0.005"
A_joint_fit	row_G8_T4e+06	"G=8, T=4e+06: acc_emp=0.670+/-0.030, acc_pred=0.597, y_resid=-0.087"
A_joint_fit	row_G16_T4e+06	"G=16, T=4e+06: acc_emp=0.690+/-0.030, acc_pred=0.634, y_resid=-0.072"
A_joint_fit	row_G32_T4e+06	"G=32, T=4e+06: acc_emp=0.660+/-0.030, acc_pred=0.668, y_resid=+0.010"
A_joint_fit	row_G64_T4e+06	"G=64, T=4e+06: acc_emp=0.580+/-0.030, acc_pred=0.699, y_resid=+0.145"
A_joint_fit	row_G4_T2e+07	"G=4, T=2e+07: acc_emp=0.630+/-0.030, acc_pred=0.704, y_resid=+0.097"
A_joint_fit	row_G8_T2e+07	"G=8, T=2e+07: acc_emp=0.780+/-0.030, acc_pred=0.731, y_resid=-0.087"
A_joint_fit	row_G16_T2e+07	"G=16, T=2e+07: acc_emp=0.820+/-0.030, acc_pred=0.756, y_resid=-0.132"
A_joint_fit	row_G32_T2e+07	"G=32, T=2e+07: acc_emp=0.840+/-0.030, acc_pred=0.779, y_resid=-0.140"
A_joint_fit	row_G64_T2e+07	"G=64, T=2e+07: acc_emp=0.800+/-0.030, acc_pred=0.799, y_resid=-0.001"
A_joint_fit	row_G4_T6e+07	"G=4, T=6e+07: acc_emp=0.640+/-0.030, acc_pred=0.803, y_resid=+0.261"
A_joint_fit	row_G8_T6e+07	"G=8, T=6e+07: acc_emp=0.800+/-0.030, acc_pred=0.821, y_resid=+0.048"
A_joint_fit	row_G16_T6e+07	"G=16, T=6e+07: acc_emp=0.850+/-0.030, acc_pred=0.838, y_resid=-0.034"
A_joint_fit	row_G32_T6e+07	"G=32, T=6e+07: acc_emp=0.880+/-0.030, acc_pred=0.853, y_resid=-0.089"
A_joint_fit	row_G64_T6e+07	"G=64, T=6e+07: acc_emp=0.870+/-0.030, acc_pred=0.866, y_resid=-0.012"
