method	zvf_risk_mean	zvf_risk_max_mean	zvf_risk_4ch_mean	zvf_risk_max_4ch_mean	risk_len_mean	rho_dZ_dL_mean	mag_mean	csd_mean	drift_mean	failure_rate	n_seeds
tool_use_qwen3-32b	0.5473808273460361	0.9933071490757152	0.4854030074825374	0.9933071490757152	0.0		1.0	0.95	0.0	1.0	1
tool_use_llama-8b-inst	0.5473808273460361	0.9933071490757152	0.4854030074825374	0.9933071490757152	0.0		1.0	0.95	0.0	1.0	1
scaling_law_Llama-3.1-8B-Instruct	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085	0.0		0.95	0.85	0.015	1.0	1
scaling_law_Qwen3-8B	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085	0.0		0.95	0.85	0.015	1.0	1
scaling_law_Nemotron-120B	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085	0.0		0.95	0.85	0.015	1.0	1
scaling_law_DeepSeek-V3.1	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085	0.0		0.95	0.85	0.015	1.0	1
scaling_law_Qwen3.5-4B	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085	0.0		0.95	0.85	0.015	1.0	1
grpo	0.5776880179873355	0.8584453076133919	0.55976381519376	0.8584453076133919	0.470222779042028	0.138075	0.48078000000000004	0.53178	0.0099088	0.0	5
gift	0.3145005437766656	0.7529877598946039	0.34925308310408026	0.7529877598946039	0.5891312079520599	0.18603750000000002	0.1142	0.20493999999999998	0.0001	0.2	5
es	0.30510977209858126	0.7529653289102655	0.33902324065308675	0.7529653289102655	0.5891312079520599	0.18603750000000002	0.11421999999999999	0.12274	0.0011132	0.2	5
areal	0.33192061309087423	0.7454344866751296	0.3652471378126945	0.7454344866751296	0.5891312079520599	0.18603750000000002	0.12090000000000001	0.23742000000000002	-2.5999999999999954e-06	0.2	5
mcgrpo	0.40341125968913405	0.7157296105121489	0.42992331486972385	0.7157296105121489	0.5891312079520599	0.18603750000000002	0.14604	0.35144000000000003	0.00015560000000000001	0.2	5
aero	0.430050653146807	0.6243699032093492	0.45543539591882143	0.6243699032093492	0.5891312079520599	0.18603750000000002	0.22025999999999998	0.39266	0.00041279999999999995	0.0	5
cppo	0.42661061087943886	0.5071992250500343	0.45205177875571556	0.5891312079520599	0.5891312079520599	0.18603750000000002	0.2952	0.41513999999999995	0.0017502	0.0	5
ngrpo	0.446662878834344	0.513900359244168	0.4699190252417421	0.5891312079520599	0.5891312079520599	0.18603750000000002	0.30036	0.43113999999999997	0.0019144000000000001	0.0	5
scafgrpo	0.22532716228739563	0.4750640586019109	0.2712518921745259	0.5891312079520599	0.5891312079520599	0.18603750000000002	0.31664	0.01686	0.0018834	0.0	5
