fset	c	seed	opt_threshold
20raw	1	42	0.7600
20raw	10	42	0.5600
20raw	100	42	0.5000
20raw	1000	42	0.4200
20raw	1	179	0.7700
20raw	10	179	0.5900
20raw	100	179	0.5000
20raw	1000	179	0.4100
20raw	1	316	0.8000
20raw	10	316	0.6000
20raw	100	316	0.4300
20raw	1000	316	0.4300
20raw	1	453	0.7300
20raw	10	453	0.5700
20raw	100	453	0.4300
20raw	1000	453	0.4300
20raw	1	590	0.8000
20raw	10	590	0.6100
20raw	100	590	0.5500
20raw	1000	590	0.4400
24full	1	42	0.7600
24full	10	42	0.6300
24full	100	42	0.5600
24full	1000	42	0.5600
24full	1	179	0.7700
24full	10	179	0.5900
24full	100	179	0.4800
24full	1000	179	0.4800
24full	1	316	0.7500
24full	10	316	0.6300
24full	100	316	0.5000
24full	1000	316	0.5000
24full	1	453	0.7300
24full	10	453	0.6000
24full	100	453	0.5400
24full	1000	453	0.4500
24full	1	590	0.7300
24full	10	590	0.6400
24full	100	590	0.4900
24full	1000	590	0.4900
4sensor	1	42	0.8700
4sensor	10	42	0.6300
4sensor	100	42	0.5300
4sensor	1000	42	0.4700
4sensor	1	179	0.8600
4sensor	10	179	0.6500
4sensor	100	179	0.5300
4sensor	1000	179	0.4300
4sensor	1	316	0.8200
4sensor	10	316	0.6600
4sensor	100	316	0.5400
4sensor	1000	316	0.4900
4sensor	1	453	0.8500
4sensor	10	453	0.6200
4sensor	100	453	0.5300
4sensor	1000	453	0.4600
4sensor	1	590	0.9000
4sensor	10	590	0.6200
4sensor	100	590	0.5500
4sensor	1000	590	0.4400
