method	config	tau	k_up	k_dn	n_fires	n_flips	flip_rate_per_fire	mean_dwell_escalated	total_rollouts	baseline_rollouts	cost_ratio	total_yield_base	total_yield_ctrl	delta_yield	yield_per_1000_extra
grpo	C_raw_tau_0.70	0.7	1	1	8	15	1.875	2.5	7680	5120	1.5	147.2012	155.5001	8.2989	3.242
grpo	C_sym_0.70_2_2	0.7	2	2	3	5	1.667	6.0	7424	5120	1.45	147.2012	155.3517	8.1505	3.538
grpo	C_sym_0.70_3_3	0.7	3	3	1	1	1.0	17.0	7296	5120	1.425	147.2012	155.3406	8.1394	3.741
grpo	C_sym_0.75_2_2	0.75	2	2	3	5	1.667	6.0	7424	5120	1.45	147.2012	155.3517	8.1505	3.538
grpo	C_asym_0.70_1_4	0.7	1	4	3	5	1.667	11.0	9344	5120	1.825	147.2012	164.4179	17.2168	4.076
grpo	C_asym_0.70_1_3	0.7	1	3	3	5	1.667	10.33	9088	5120	1.775	147.2012	163.416	16.2148	4.086
grpo	C_asym_0.70_2_4	0.7	2	4	2	3	1.5	11.0	7936	5120	1.55	147.2012	157.7825	10.5814	3.758
grpo	C_asym_0.75_1_4	0.75	1	4	3	5	1.667	11.0	9344	5120	1.825	147.2012	164.4179	17.2168	4.076
grpo	C_asym_0.75_1_3	0.75	1	3	3	5	1.667	10.33	9088	5120	1.775	147.2012	163.416	16.2148	4.086
grpo	C_asym_0.80_1_4	0.8	1	4	3	5	1.667	8.33	8320	5120	1.625	147.2012	160.0665	12.8653	4.02
grpo	C_asym_0.80_1_3	0.8	1	3	4	8	2.0	5.25	7808	5120	1.525	147.2012	157.9807	10.7795	4.01
grpo	C_asym_0.70_1_5	0.7	1	5	3	5	1.667	11.67	9600	5120	1.875	147.2012	166.0208	18.8196	4.201
aero	C_raw_tau_0.70	0.7	1	1	9	18	2.0	2.11	7552	5120	1.475	149.9974	157.0388	7.0413	2.895
aero	C_sym_0.70_2_2	0.7	2	2	2	4	2.0	8.0	7168	5120	1.4	149.9974	156.9577	6.9603	3.399
aero	C_sym_0.70_3_3	0.7	3	3	1	2	2.0	11.0	6528	5120	1.275	149.9974	155.256	5.2586	3.735
aero	C_sym_0.75_2_2	0.75	2	2	2	4	2.0	8.0	7168	5120	1.4	149.9974	156.9577	6.9603	3.399
aero	C_asym_0.70_1_4	0.7	1	4	2	3	1.5	18.0	9728	5120	1.9	149.9974	168.1569	18.1594	3.941
aero	C_asym_0.70_1_3	0.7	1	3	4	8	2.0	8.0	9216	5120	1.8	149.9974	165.4471	15.4497	3.772
aero	C_asym_0.70_2_4	0.7	2	4	2	3	1.5	10.0	7680	5120	1.5	149.9974	160.0506	10.0532	3.927
aero	C_asym_0.75_1_4	0.75	1	4	2	3	1.5	18.0	9728	5120	1.9	149.9974	168.1569	18.1594	3.941
aero	C_asym_0.75_1_3	0.75	1	3	4	8	2.0	8.0	9216	5120	1.8	149.9974	165.4471	15.4497	3.772
aero	C_asym_0.80_1_4	0.8	1	4	3	5	1.667	9.0	8576	5120	1.675	149.9974	164.0527	14.0553	4.067
aero	C_asym_0.80_1_3	0.8	1	3	3	6	2.0	8.0	8192	5120	1.6	149.9974	161.2849	11.2875	3.674
aero	C_asym_0.70_1_5	0.7	1	5	2	3	1.5	18.5	9856	5120	1.925	149.9974	168.6836	18.6862	3.946
gift	C_raw_tau_0.70	0.7	1	1	8	15	1.875	3.25	8448	5120	1.65	121.7675	128.3874	6.6199	1.989
gift	C_sym_0.70_2_2	0.7	2	2	1	1	1.0	18.0	7424	5120	1.45	121.7675	125.5026	3.7351	1.621
gift	C_sym_0.70_3_3	0.7	3	3	1	1	1.0	17.0	7296	5120	1.425	121.7675	125.254	3.4865	1.602
gift	C_sym_0.75_2_2	0.75	2	2	1	1	1.0	18.0	7424	5120	1.45	121.7675	125.5026	3.7351	1.621
gift	C_asym_0.70_1_4	0.7	1	4	2	3	1.5	19.0	9984	5120	1.95	121.7675	137.7145	15.947	3.279
gift	C_asym_0.70_1_3	0.7	1	3	3	5	1.667	12.0	9728	5120	1.9	121.7675	135.6621	13.8946	3.015
gift	C_asym_0.70_2_4	0.7	2	4	1	1	1.0	18.0	7424	5120	1.45	121.7675	125.5026	3.7351	1.621
gift	C_asym_0.75_1_4	0.75	1	4	2	3	1.5	19.0	9984	5120	1.95	121.7675	137.7145	15.947	3.279
gift	C_asym_0.75_1_3	0.75	1	3	3	5	1.667	12.0	9728	5120	1.9	121.7675	135.6621	13.8946	3.015
gift	C_asym_0.80_1_4	0.8	1	4	2	3	1.5	11.0	7936	5120	1.55	121.7675	127.3324	5.5649	1.976
gift	C_asym_0.80_1_3	0.8	1	3	2	3	1.5	10.5	7808	5120	1.525	121.7675	127.3013	5.5338	2.059
gift	C_asym_0.70_1_5	0.7	1	5	2	3	1.5	19.5	10112	5120	1.975	121.7675	138.369	16.6014	3.326
areal	C_raw_tau_0.70	0.7	1	1	9	17	1.889	1.89	7296	5120	1.425	153.9497	159.9869	6.0372	2.774
areal	C_sym_0.70_2_2	0.7	2	2	2	3	1.5	7.5	7040	5120	1.375	153.9497	160.8437	6.894	3.591
areal	C_sym_0.70_3_3	0.7	3	3	1	1	1.0	16.0	7168	5120	1.4	153.9497	162.0384	8.0887	3.95
areal	C_sym_0.75_2_2	0.75	2	2	2	3	1.5	7.5	7040	5120	1.375	153.9497	160.8437	6.894	3.591
areal	C_asym_0.70_1_4	0.7	1	4	3	5	1.667	10.33	9088	5120	1.775	153.9497	169.7188	15.7691	3.974
areal	C_asym_0.70_1_3	0.7	1	3	3	5	1.667	9.67	8832	5120	1.725	153.9497	167.8682	13.9185	3.75
areal	C_asym_0.70_2_4	0.7	2	4	1	1	1.0	17.0	7296	5120	1.425	153.9497	162.3772	8.4275	3.873
areal	C_asym_0.75_1_4	0.75	1	4	3	5	1.667	10.33	9088	5120	1.775	153.9497	169.7188	15.7691	3.974
areal	C_asym_0.75_1_3	0.75	1	3	3	5	1.667	9.67	8832	5120	1.725	153.9497	167.8682	13.9185	3.75
