method	G	n_steps	point	lo	hi	ci_hw
grpo	2	40	0.0954	0.0827	0.108	0.0126
grpo	4	40	0.1727	0.1502	0.1955	0.0226
grpo	8	40	0.2797	0.2469	0.3125	0.0328
grpo	16	40	0.265	0.2338	0.2965	0.0314
aero	2	40	0.0994	0.0865	0.1126	0.013
aero	4	40	0.1792	0.1562	0.2029	0.0234
aero	8	40	0.2797	0.2484	0.3109	0.0312
aero	16	40	0.2664	0.2369	0.2966	0.0299
gift	2	40	0.0797	0.0662	0.093	0.0134
gift	4	40	0.1441	0.1197	0.1679	0.0241
gift	8	40	0.2297	0.1906	0.2672	0.0383
gift	16	40	0.218	0.1813	0.2539	0.0363
areal	2	40	0.1	0.0874	0.1132	0.0129
areal	4	40	0.1811	0.1585	0.2046	0.0231
areal	8	40	0.2938	0.2594	0.3266	0.0336
areal	16	40	0.2776	0.2444	0.3096	0.0326
