width	n_llm_calls	frac_llm	auc	recall_at_K2	precision_at_K2	f1_at_K2	cost_per_decision	cost_per_fraud_caught
0.1	21	0.0021	0.999759	0.979167	0.705	0.819767	0.00010189	1.48526e-06
0.2	35	0.0035	0.999759	0.979167	0.705	0.819767	0.00010315	1.50363e-06
0.3	46	0.0046	0.999758	0.979167	0.705	0.819767	0.00010414	1.51806e-06
0.4	59	0.0059	0.999759	0.979167	0.705	0.819767	0.00010531	1.53512e-06
0.5	70	0.007	0.99976	0.979167	0.705	0.819767	0.0001063	1.54955e-06
1	10000	1	0.999803	0.993056	0.715	0.831395	0.001	1.44577e-05
