framework	method	n_entries	entry_ids
colab-open-trainer	aero	0	NONE
colab-open-trainer	areal	0	NONE
colab-open-trainer	cppo	0	NONE
colab-open-trainer	dapo	1	colab-open_dapo_e3
colab-open-trainer	delta_adaptiveg	1	delta:delta_adaptiveg
colab-open-trainer	delta_aero	1	delta:delta_aero
colab-open-trainer	delta_areal	1	delta:delta_areal
colab-open-trainer	delta_cppo	1	delta:delta_cppo
colab-open-trainer	delta_dapo	1	delta:delta_dapo
colab-open-trainer	delta_drgrpo	1	delta:delta_drgrpo
colab-open-trainer	delta_es	1	delta:delta_es
colab-open-trainer	delta_gift	1	delta:delta_gift
colab-open-trainer	delta_gspo	1	delta:delta_gspo
colab-open-trainer	delta_liteppo	1	delta:delta_liteppo
colab-open-trainer	delta_mcgrpo	1	delta:delta_mcgrpo
colab-open-trainer	delta_ngrpo	1	delta:delta_ngrpo
colab-open-trainer	delta_ppo	1	delta:delta_ppo
colab-open-trainer	delta_ppo_reinforce	1	delta:delta_ppo_reinforce
colab-open-trainer	delta_reinforce	1	delta:delta_reinforce
colab-open-trainer	delta_scafgrpo	1	delta:delta_scafgrpo
colab-open-trainer	delta_tool_use_llama-8b-inst	1	delta:delta_tool_use_llama-8b-inst
colab-open-trainer	delta_tool_use_qwen3-32b	1	delta:delta_tool_use_qwen3-32b
colab-open-trainer	drgrpo	1	colab-open_drgrpo_e3
colab-open-trainer	es	0	NONE
colab-open-trainer	gift	0	NONE
colab-open-trainer	grpo	2	colab-open_grpo-adaptiveg_e3,colab-open_grpo_e3
colab-open-trainer	gspo	0	NONE
colab-open-trainer	mcgrpo	0	NONE
colab-open-trainer	ngrpo	0	NONE
colab-open-trainer	ppo-reinforce	0	NONE
colab-open-trainer	scafgrpo	0	NONE
colab-open-trainer	tool_use_llama-8b-inst	0	NONE
colab-open-trainer	tool_use_qwen3-32b	0	NONE
openrlhf	aero	0	NONE
openrlhf	areal	0	NONE
openrlhf	cppo	0	NONE
openrlhf	dapo	0	NONE
openrlhf	delta_adaptiveg	1	delta:delta_adaptiveg
openrlhf	delta_aero	1	delta:delta_aero
openrlhf	delta_areal	1	delta:delta_areal
openrlhf	delta_cppo	1	delta:delta_cppo
openrlhf	delta_dapo	1	delta:delta_dapo
openrlhf	delta_drgrpo	1	delta:delta_drgrpo
openrlhf	delta_es	1	delta:delta_es
openrlhf	delta_gift	1	delta:delta_gift
openrlhf	delta_gspo	1	delta:delta_gspo
openrlhf	delta_liteppo	1	delta:delta_liteppo
openrlhf	delta_mcgrpo	1	delta:delta_mcgrpo
openrlhf	delta_ngrpo	1	delta:delta_ngrpo
openrlhf	delta_ppo	1	delta:delta_ppo
openrlhf	delta_ppo_reinforce	1	delta:delta_ppo_reinforce
openrlhf	delta_reinforce	1	delta:delta_reinforce
openrlhf	delta_scafgrpo	1	delta:delta_scafgrpo
openrlhf	delta_tool_use_llama-8b-inst	1	delta:delta_tool_use_llama-8b-inst
openrlhf	delta_tool_use_qwen3-32b	1	delta:delta_tool_use_qwen3-32b
openrlhf	drgrpo	0	NONE
openrlhf	es	0	NONE
openrlhf	gift	0	NONE
openrlhf	grpo	1	openrlhf_grpo_qwen3-8b_gsm8k
openrlhf	gspo	0	NONE
openrlhf	mcgrpo	0	NONE
openrlhf	ngrpo	0	NONE
openrlhf	ppo-reinforce	0	NONE
openrlhf	scafgrpo	0	NONE
openrlhf	tool_use_llama-8b-inst	0	NONE
openrlhf	tool_use_qwen3-32b	0	NONE
tinker	aero	1	tinker_aero_qwen3.5-4b_gsm8k
tinker	areal	1	tinker_areal_qwen3.5-4b_gsm8k
tinker	cppo	0	NONE
tinker	dapo	1	tinker_dapo_qwen3.5-4b_gsm8k
tinker	delta_adaptiveg	1	delta:delta_adaptiveg
tinker	delta_aero	1	delta:delta_aero
tinker	delta_areal	1	delta:delta_areal
tinker	delta_cppo	1	delta:delta_cppo
tinker	delta_dapo	1	delta:delta_dapo
tinker	delta_drgrpo	1	delta:delta_drgrpo
tinker	delta_es	1	delta:delta_es
tinker	delta_gift	1	delta:delta_gift
tinker	delta_gspo	1	delta:delta_gspo
tinker	delta_liteppo	1	delta:delta_liteppo
tinker	delta_mcgrpo	1	delta:delta_mcgrpo
tinker	delta_ngrpo	1	delta:delta_ngrpo
tinker	delta_ppo	1	delta:delta_ppo
tinker	delta_ppo_reinforce	1	delta:delta_ppo_reinforce
tinker	delta_reinforce	1	delta:delta_reinforce
tinker	delta_scafgrpo	1	delta:delta_scafgrpo
tinker	delta_tool_use_llama-8b-inst	1	delta:delta_tool_use_llama-8b-inst
tinker	delta_tool_use_qwen3-32b	1	delta:delta_tool_use_qwen3-32b
tinker	drgrpo	1	tinker_drgrpo_qwen3.5-4b_gsm8k
tinker	es	0	NONE
tinker	gift	1	tinker_gift_qwen3.5-4b_gsm8k
tinker	grpo	2	tinker_grpo_qwen3-8b_gsm8k,tinker_grpo_qwen3.5-4b_gsm8k
tinker	gspo	1	tinker_gspo_qwen3.5-4b_gsm8k
tinker	mcgrpo	0	NONE
tinker	ngrpo	0	NONE
tinker	ppo-reinforce	2	wandb_ppo_reinforce_llama318b-inst_gsm8k,wandb_ppo_reinforce_qwen38b_gsm8k
tinker	scafgrpo	0	NONE
tinker	tool_use_llama-8b-inst	0	NONE
tinker	tool_use_qwen3-32b	0	NONE
trl	aero	0	NONE
trl	areal	0	NONE
trl	cppo	0	NONE
trl	dapo	0	NONE
trl	delta_adaptiveg	1	delta:delta_adaptiveg
trl	delta_aero	1	delta:delta_aero
trl	delta_areal	1	delta:delta_areal
trl	delta_cppo	1	delta:delta_cppo
trl	delta_dapo	1	delta:delta_dapo
trl	delta_drgrpo	1	delta:delta_drgrpo
trl	delta_es	1	delta:delta_es
trl	delta_gift	1	delta:delta_gift
trl	delta_gspo	1	delta:delta_gspo
trl	delta_liteppo	1	delta:delta_liteppo
trl	delta_mcgrpo	1	delta:delta_mcgrpo
trl	delta_ngrpo	1	delta:delta_ngrpo
trl	delta_ppo	1	delta:delta_ppo
trl	delta_ppo_reinforce	1	delta:delta_ppo_reinforce
trl	delta_reinforce	1	delta:delta_reinforce
trl	delta_scafgrpo	1	delta:delta_scafgrpo
trl	delta_tool_use_llama-8b-inst	1	delta:delta_tool_use_llama-8b-inst
trl	delta_tool_use_qwen3-32b	1	delta:delta_tool_use_qwen3-32b
trl	drgrpo	0	NONE
trl	es	0	NONE
trl	gift	0	NONE
trl	grpo	1	trl_grpo_qwen3-8b_gsm8k
trl	gspo	0	NONE
trl	mcgrpo	0	NONE
trl	ngrpo	0	NONE
trl	ppo-reinforce	0	NONE
trl	scafgrpo	0	NONE
trl	tool_use_llama-8b-inst	0	NONE
trl	tool_use_qwen3-32b	0	NONE
verl	aero	0	NONE
verl	areal	0	NONE
verl	cppo	0	NONE
verl	dapo	0	NONE
verl	delta_adaptiveg	1	delta:delta_adaptiveg
verl	delta_aero	1	delta:delta_aero
verl	delta_areal	1	delta:delta_areal
verl	delta_cppo	1	delta:delta_cppo
verl	delta_dapo	1	delta:delta_dapo
verl	delta_drgrpo	1	delta:delta_drgrpo
verl	delta_es	1	delta:delta_es
verl	delta_gift	1	delta:delta_gift
verl	delta_gspo	1	delta:delta_gspo
verl	delta_liteppo	1	delta:delta_liteppo
verl	delta_mcgrpo	1	delta:delta_mcgrpo
verl	delta_ngrpo	1	delta:delta_ngrpo
verl	delta_ppo	1	delta:delta_ppo
verl	delta_ppo_reinforce	1	delta:delta_ppo_reinforce
